contigName	contigLen	totalAvgDepth	17119-05-01-243200068.sort.bam	17119-05-01-243200068.sort.bam-var	17119-05-02-243200066.sort.bam	17119-05-02-243200066.sort.bam-var	17119-05-03-243200095.sort.bam	17119-05-03-243200095.sort.bam-var	17119-05-04-243200101.sort.bam	17119-05-04-243200101.sort.bam-var	17119-05-05-243200087.sort.bam	17119-05-05-243200087.sort.bam-var	17119-05-06-243200069.sort.bam	17119-05-06-243200069.sort.bam-var	17119-05-07-243200099.sort.bam	17119-05-07-243200099.sort.bam-var	17119-05-08-243200071.sort.bam	17119-05-08-243200071.sort.bam-var	17119-05-09-243200070.sort.bam	17119-05-09-243200070.sort.bam-var	17119-05-10-243200096.sort.bam	17119-05-10-243200096.sort.bam-var	17119-05-11-243200091.sort.bam	17119-05-11-243200091.sort.bam-var	17119-05-12-243200081.sort.bam	17119-05-12-243200081.sort.bam-var	17119-05-13-243200076.sort.bam	17119-05-13-243200076.sort.bam-var	17119-05-14-243200089.sort.bam	17119-05-14-243200089.sort.bam-var	17119-05-15-243200093.sort.bam	17119-05-15-243200093.sort.bam-var	17119-05-16-243200072.sort.bam	17119-05-16-243200072.sort.bam-var	17119-05-17-243200086.sort.bam	17119-05-17-243200086.sort.bam-var	17119-05-18-243200100.sort.bam	17119-05-18-243200100.sort.bam-var	17119-05-19-243200062.sort.bam	17119-05-19-243200062.sort.bam-var	17119-05-20-243200063.sort.bam	17119-05-20-243200063.sort.bam-var	17119-05-21-243200075.sort.bam	17119-05-21-243200075.sort.bam-var	17119-05-22-243200094.sort.bam	17119-05-22-243200094.sort.bam-var	17119-05-23-243200073.sort.bam	17119-05-23-243200073.sort.bam-var	17119-05-24-243200088.sort.bam	17119-05-24-243200088.sort.bam-var	17119-05-25-243200085.sort.bam	17119-05-25-243200085.sort.bam-var	17119-05-26-243200098.sort.bam	17119-05-26-243200098.sort.bam-var	17119-05-27-243200083.sort.bam	17119-05-27-243200083.sort.bam-var	17119-05-28-243200078.sort.bam	17119-05-28-243200078.sort.bam-var	17119-05-30-243200082.sort.bam	17119-05-30-243200082.sort.bam-var	17119-05-31-243200080.sort.bam	17119-05-31-243200080.sort.bam-var	17119-05-32-243200092.sort.bam	17119-05-32-243200092.sort.bam-var	17119-05-33-243200064.sort.bam	17119-05-33-243200064.sort.bam-var	17119-05-34-243200097.sort.bam	17119-05-34-243200097.sort.bam-var	17119-05-35-243200067.sort.bam	17119-05-35-243200067.sort.bam-var	17119-05-36-243200079.sort.bam	17119-05-36-243200079.sort.bam-var	17119-05-37-243200074.sort.bam	17119-05-37-243200074.sort.bam-var	17119-05-38-243200077.sort.bam	17119-05-38-243200077.sort.bam-var	17119-05-39-243200084.sort.bam	17119-05-39-243200084.sort.bam-var	17119-05-40-243200090.sort.bam	17119-05-40-243200090.sort.bam-var	17119D-05-29-243200065.sort.bam	17119D-05-29-243200065.sort.bam-var
S12CNODE_1_length_731318_cov_31.772696||0_partial_1	16578	304.225	1.25828	1.84413	23.994	86.7501	4.17269	8.36415	52.4764	319.29	4.11413	7.5825	0.166545	0.197681	0.394388	0.573313	0.335159	0.469473	0.0439494	0.0427522	0.121439	0.157963	0.164049	0.267988	41.9979	96.7877	0.119248	0.140067	0.0971512	0.15419	91.9475	1134.52	0.615839	0.703903	0	0	0	0	0.259557	0.331737	0.0183832	0.0270541	2.43688	5.47166	0	0	0.0183832	0.0180464	0.153336	0.722627	0.0183832	0.0180453	0	0	1.92872	4.0426	0	0	0.0916119	0.162203	4.38343	7.93386	0.0183832	0.0364348	0.687546	12.7653	0.29328	0.41496	0.108352	0.131907	1.29772	2.49419	0.077794	0.0717437	70.3592	772.42	0.0549671	0.0519641	0	0	0	0
S12CNODE_27_length_195463_cov_15.177854||0_partial_1	34110	29.1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177267	0.0254762	0.0132509	0.0130831	0	0	25.6654	43.2197	0.0689046	0.0741016	0.0841284	0.11263	0	0	0.0251767	0.136568	0	0	0.00347468	0.00875278	0.0661072	0.136787	0	0	0	0	0.00886337	0.00879439	0.0434335	0.0641738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0896054	0.171655	0.000883392	0.000881963	0	0	0.00889281	0.00881853	0.0150177	0.0224048	0	0	0	0	2.44284	8.38277	0.58987	0.883625	0	0
S12CNODE_34_length_180999_cov_33.362609||0_partial_1	16418	101.005	0.0608557	0.119942	3.96287	695.59	1.9416	6.13013	3.94775	293.716	0.317617	3.98895	0.0253258	0.0246854	0.147898	1.00424	0.214286	0.217425	0.0647898	0.0652517	0.0987214	0.449118	0.0867347	0.165076	14.1958	66.5795	0.0459798	0.0667217	0.0655274	0.110152	4.61692	927.582	0.041431	0.0934376	0	0	0	0	0.00706909	0.0070229	0.0185026	0.018159	0.0912835	0.389066	0.0184411	0.0180992	0	0	0.565958	13.1881	0	0	0	0	1.45328	6.83771	0.0228055	0.0343523	0.0447504	0.0728493	3.60708	9.85142	0.0027047	0.00269765	1.4984	86.8437	0.204881	0.361128	0.07358	0.0841272	1.1104	1.77517	0.196336	0.279178	62.1644	3525.71	0.0738259	0.0691166	0	0	0.0172117	0.052826
S12CNODE_118_length_87208_cov_102.568839||0_partial_1	13805	1801.9	0.0332479	0.155739	0.00761626	0.0075618	7.20571	401.96	1.21758	88.4961	0.047089	0.0655179	0.316368	2.65849	0.0233614	0.0686681	0.0152325	0.0302472	1.24079	25.8989	0.226071	3.82265	0.16331	0.262123	156.338	258149	0.558843	5.78625	0.127426	1.4607	40.5828	18195.9	0.879312	90.0714	0.00805566	0.00799509	4.09052	248.49	0.018528	0.0477971	1.68956	23.4812	0.00746979	0.00741216	0.185353	1.31802	0.08539	0.738276	0.00922739	0.0123717	1.84057	36.1042	1.89301	50.0324	156.145	294790	984.207	9.44957e+06	0.732699	8.86687	398.477	1.56845e+06	0.799707	11.9704	0.98572	33.2816	2.72955	55.6024	0.106042	1.18901	32.9551	10477.8	0.171293	0.494773	0.729769	66.8065	0.0946906	0.680105	4.67499	330.126	0.28019	1.63106
S12CNODE_176_length_67726_cov_12.578372||0_partial_1	12523	23.2201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024408	0.0238276	0.00315202	0.00314261	0	0	22.2883	481.09	0.0421886	0.0825988	0	0	0.00331367	0.00330304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119615	0.0195779	0	0	0.00711226	0.00706271	0	0	0.024408	0.0293235	0.0485735	0.060283	0	0	0.100865	0.131096	0.665805	1.39407	0	0
S12CNODE_213_length_57640_cov_124.506955||0_partial_1	12378	1134.75	0.0636245	0.0834502	0.0370461	0.035677	3.76259	6.23612	0.188338	0.239238	0	0	0.0616618	0.078296	0.123078	0.176303	0	0	1.05708	1.43344	0.0246974	0.0240894	0.0492313	0.0587627	93.4381	725.74	0.126186	0.130552	0.0347563	0.061532	28.0588	140.054	0.0587177	0.0598391	0	0	2.25237	4.12097	0.0246974	0.0406105	0.896304	1.11327	0	0	0.167321	0.227545	0.0736016	0.0843898	0	0	0.930487	1.10512	1.10729	1.4948	113.24	1093.79	613.045	31396	0.738306	1.05041	249.786	5875.97	0.390743	0.439453	0.491413	0.775886	1.56935	2.31071	0.0740105	0.0876663	19.0975	57.3954	0.0766274	0.0877691	0.0738469	0.0857348	0.226693	0.795413	3.27273	5.89865	0.128639	0.173633
S12CNODE_287_length_45502_cov_18.468612||0_partial_1	12107	56.3234	0	0	0	0	0	0	0.0251735	0.0454502	0	0	0	0	0	0	1.11533	2.08302	0	0	0	0	0.0252572	0.0246214	28.4977	45.7097	0.0250899	0.0329969	4.61186	6.11651	0.0629757	0.0590154	0.0250063	0.0243825	0	0	0	0	7.39826	11.3928	0.0631429	0.0591577	0	0	0	0	0.188174	0.335449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251735	0.0245446	0.0252572	0.0418532	0.100527	0.1744	0.346241	0.493058	0.0126286	0.0124633	6.05026	9.45789	7.72535	12.4522	0	0
S14CNODE_5_length_285171_cov_153.956151||0_partial_1	14608	788.311	0	0	0.0208189	0.0203847	0	0	0	0	0.0625259	0.0775713	0.0833449	0.0764119	0.0313321	0.0324232	4.60278	10.5773	0.0820307	0.111676	0.0833449	0.113486	0.228593	0.350381	0.142205	0.142059	0.287038	0.235196	238.725	1575.34	0.231706	0.336182	0.10444	0.119242	0.125121	0.133673	0.102365	0.105877	6.91029	13.8428	0.197814	0.255548	24.3085	52.6302	0.041707	0.039957	331.243	2813.08	0.166551	0.387566	0	0	0	0	0	0	0	0	0.0625951	0.061443	0.0208881	0.0204508	0	0	0.10444	0.125333	0.229077	0.256856	0.139923	0.147739	0.0991838	0.11814	104.954	414.401	0.0416378	0.0520743	74.2516	286.233	0.626919	1.04984	0	0
S16CNODE_2_length_370546_cov_33.003196||0_partial_1	10371	102.881	0	0	0	0	0.029547	0.0286805	0.0294492	0.030732	0	0	0.0586048	0.0708201	0	0	22.1117	113.258	0	0	0	0	3.0405	5.54449	0.0294492	0.0285802	0.0879562	0.127181	24.6105	101.682	0.059094	0.0775186	29.4912	165.203	0.10273	0.133836	0	0	17.5282	76.1225	0	0	2.69416	6.12268	0	0	0	0	0	0	0	0	0.029547	0.0394458	0.029547	0.0398427	0	0	0.0334605	0.0323448	0	0	0	0	0	0	0	0	0	0	0	0	0.718521	1.00345	0	0	0.0405048	0.0388689	0	0	2.15654	5.00314
S16CNODE_12_length_214635_cov_28.288717||0_partial_1	47055	53.3689	0.0419998	0.849839	0.24976	54.6077	0.0596738	2.85977	0.159045	20.2367	0.0496536	0.375175	0.238589	49.4556	0.137341	16.2303	0.0902036	4.4445	0.137107	9.0549	0.272082	54.2456	0.224475	31.1924	0.252681	5.23121	0.307174	45.297	0.136467	1.83621	0.152628	14.6773	44.72	69.8929	0.129048	6.73715	0.167658	22.3575	0.0105959	0.0522539	0.173073	26.0202	0.0854706	6.22924	0.241744	49.771	0.046818	1.39151	0.258416	54.2681	0.150879	18.2968	0.0963437	3.86485	0.123825	0.369265	1.65008	20.7256	0.243769	32.5162	0.176037	0.323419	0.256732	0.500992	0.153225	0.428136	0.054088	1.9799	1.79772	12.9194	0.0751519	0.947809	0.0507409	0.287428	0.0877945	2.33158	0.00164162	0.00163661	0.00750453	0.0127334	0.10161	7.99224
S16CNODE_33_length_130580_cov_232.313840||0_partial_1	10598	373.531	0	0	0	0	0.345042	0.662561	0	0	0	0	0	0	0	0	0.144334	0.278953	0.359495	0.380698	0.240237	0.277472	0.114663	0.169689	0.172665	0.217702	0.463438	0.524236	0.086428	0.0789491	0.158691	0.17659	342.498	1877.75	0.158021	0.24088	0	0	0	0	0.0549387	0.0978617	0	0	0	0	0	0	26.6576	6176.17	0	0	0	0	0.705685	5.48456	0.342458	1.39661	0.0353178	0.0746537	0.17276	0.328418	0.0289051	0.0280668	0	0	0	0	0.495884	2.20143	0.0956164	0.201318	0.172569	0.224937	0	0	0	0	0.0288093	0.0279803	0	0
S16CNODE_50_length_107911_cov_8.180240||0_partial_1	43784	29.4467	0	0	0.217537	0.583264	0.030137	0.0451823	0.017303	0.0185676	0	0	0	0	0.361301	0.711817	0.0825961	0.111954	0.00692121	0.00688172	0.0138195	0.0136213	0.0137737	0.0165122	3.65843	86.2856	0.148852	0.298266	0.00776917	0.00770965	0.00689829	0.00933808	12.3739	23.1852	0	0	1.00926	8.30677	0.0482422	0.080492	0.0172343	0.0216197	0.0138195	0.0180676	0.179631	0.325639	0.0194115	0.0286535	0	0	0	0	0	0	0.0126278	0.0124889	0.020649	0.0608878	0.0356603	0.0596437	1.05234	2.27077	0.166086	0.292632	5.7177	43.1897	0.00689829	0.0113959	0.127607	0.259975	0.327589	0.648242	0.0124673	0.0123218	0.0724206	0.12767	0.675253	1.43337	2.99253	9.61091	0	0
S16CNODE_169_length_48805_cov_6.593395||0_partial_1	15071	207.875	38.6621	96.8219	21.429	189.857	0.213122	0.322926	0.037531	0.0418852	0.750419	1.15597	0.0806916	0.0938839	0.0401448	0.042018	1.32176	2.70902	0.0402118	0.0503841	0.0201729	0.0263332	0.0201729	0.0278047	0.94806	1.43495	0.120903	0.198265	0.0902755	0.12008	0	0	9.78071	13.7905	0.0404128	0.0433537	0.00629985	0.00625943	0.46954	0.676586	0.0402788	0.0586351	0.0703036	0.0941559	0	0	0.180752	0.286041	6.73206	12.2861	0.0182964	0.0325745	0.0202399	0.0218406	0.161584	0.203723	1.292	1.93597	1.46585	2.31204	0.0561625	0.0819845	0.0100529	0.00995533	119.806	2436.08	0.0952349	0.118483	0.110448	0.13231	2.92239	4.02455	0.583942	0.783332	0.120769	0.121733	0.0402788	0.0386681	0.068226	0.0812592	0.00857851	0.00850818
S16CNODE_178_length_47222_cov_6.741790||0_partial_1	16694	12.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181939	0.0219754	0.0545817	0.061285	0.0725943	0.156383	0	0	0.0182544	0.0228806	11.4927	16.4813	0	0	0	0	0	0	0	0	0	0	0.0910904	0.121611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0272002	0.0264598	0.662355	0.869139	0	0
S18CNODE_13_length_178554_cov_12.039322||0_partial_1	29281	47.3649	0	0	0.0205966	0.0286883	0	0	0	0	0	0	0.0516632	0.0773669	0	0	0.0360441	0.0552359	0.0102983	0.0127188	0	0	0	0	0	0	0	0	0.00679688	0.0322982	0	0	0	0	0.0413649	0.0402714	18.0201	47.6008	0.0309293	0.0331414	0.175655	0.235314	0.0308263	0.0471351	0.0206653	0.0235347	0.345646	60.5326	0.0309979	0.0419765	0.0327829	0.031721	0.0412619	0.0395664	0.0103326	0.0102163	0.0155161	0.021458	0.00518348	0.00515688	1.70107	2.88513	5.11963	68.1696	0.0155504	0.0153114	1.2521	2.01954	0.034774	0.0436692	4.55353	10.307	0.110672	0.409627	0.010367	0.0102694	0.676153	2.20554	14.9017	86.9826	0.062751	0.137402
S19CNODE_15_length_202185_cov_26.274477||0_partial_1	15057	63.8417	0	0	0	0	0	0	0.0202589	0.0226643	0	0	0	0	0	0	2.47897	5.01414	0.0202589	0.0198496	0.0200577	0.0287772	0	0	0	0	0.0202589	0.0198416	18.9471	31.1013	0	0	0	0	0.0202589	0.0198407	0.0202589	0.0250698	38.9539	62.126	0.0404508	0.0435174	0.0606427	0.0694398	0	0	0	0	0	0	0	0	0	0	0	0	0.0202589	0.0308394	0	0	0	0	0	0	0	0	0	0	0.0303884	0.0294604	0.352251	0.614025	1.40927	2.01465	0	0	1.30952	1.96997	0.117596	0.166856	0	0
S19CNODE_85_length_85198_cov_11.845742||0_partial_1	14625	25.6864	0	0	0	0	0	0	0	0	0	0	0	0	0.0207254	0.0288624	0.31095	0.463395	0	0	0	0	0.0566494	0.0962955	0	0	0	0	1.20642	1.72298	0	0	0	0	0	0	0.0208636	0.0204238	15.077	25.7648	0	0	0.186805	0.260263	0	0	0.40981	0.730908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186528	0.0018622	0.0415889	0.0398445	0	0	0.0208636	0.0204312	2.60988	8.58469	0	0	3.92035	11.1809	1.80263	10.274	0	0
S19CNODE_98_length_79081_cov_10.544277||0_partial_1	11775	20.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051871	0.0715475	0.051957	0.0523501	17.3651	22.262	0	0	0.0259785	0.0253026	0	0	0.31071	0.3933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75338	3.16222	0	0	0.186581	0.5494	1.15449	2.42751	0	0
S19CNODE_220_length_50923_cov_13.360856||0_partial_1	24651	20.9215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0244888	0.0353229	0.0184482	0.0303697	18.6293	35.4778	0.0245704	0.024951	0.0122444	0.0224524	0.0245296	0.0239353	1.91539	3.08693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428146	0.0575539	0	0	0.229664	0.381171	0	0	0	0
S19CNODE_865_length_18711_cov_4.909413||0_partial_1	9360	18.8765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326819	0.0485571	0	0	0.00944625	0.0282545	0	0	0	0	0	0	0	0	7.42226	11.1153	0	0	0.865038	10.2257	0	0	0.0327904	0.0399713	0.0491857	0.0467672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195657	0.231263	0	0	6.67101	45.0303	3.59848	20.2416	0	0
