rowname	Order	Family	Genus	source	mapping	mapping2	color
Acinetobacter~phage~YMC/09/02/B1251	Caudovirales	Siphoviridae	Vieuvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~YMC11/11/R3177	Caudovirales	Siphoviridae	Vieuvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~YMC11/12/R2315	Caudovirales	Myoviridae	Obolenskvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~ZZ1	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~phiAB1	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~phiAB6	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_Acibel004	Caudovirales	Myoviridae	Saclayvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_B09_Aci01-1	Caudovirales	Myoviridae	Saclayvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_B09_Aci02-2	Caudovirales	Myoviridae	Saclayvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_B09_Aci05	Caudovirales	Myoviridae	Saclayvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_ME3	Caudovirales	Myoviridae	Metrivirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_PhT2	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaM_phiAbaA1	Caudovirales	Myoviridae	Saclayvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_46-62_Aci07	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_AS11	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_AS12	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Acibel007	Caudovirales	Autographiviridae	Daemvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Apostate	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_B09_Aci08	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_B1	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_B3	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_B5	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Berthold	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_D2	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Kimel	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Konradin	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_Lazarus	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_PD-6A3	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaP_PD-AB9	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_AbaS_TRS1	Caudovirales	Siphoviridae	Vieuvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_ApiM_fHyAci03	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_ApiP_P1	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~vB_ApiP_P2	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~virus~133	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Actinomyces~virus~Av1	Caudovirales	Podoviridae	Unassigned	vConTact2	Actinomyces	Others	#66A61E
Actinoplanes~phage~phiAsp2	Caudovirales	Siphoviridae	Unassigned	vConTact2	Actinoplanes	Others	#66A61E
Aeromonas~phage~2-L372D	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~25AhydR2PP	Caudovirales	Autographiviridae	Aerosvirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~2_L372X	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~4_4572	Caudovirales	Podoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~4_L372D	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~4_L372XY	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~AS-gz	Caudovirales	Myoviridae	Tulanevirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~AS-sw	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~AS-zj	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~Aes012	Caudovirales	Myoviridae	Secunda5virus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~Aes508	Caudovirales	Myoviridae	Secunda5virus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~Ahp1	Caudovirales	Autographiviridae	Ahphunavirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~CC2	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~CF7	Caudovirales	Autographiviridae	Ahphunavirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~LAh9	Caudovirales	Podoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~LAh_6	Caudovirales	Podoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~LAh_8	Caudovirales	Podoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~PX29	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~ZPAH7	Caudovirales	Autographiviridae	Aerosvirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~pAh6-C	Caudovirales	Chaseviridae	Pahsextavirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~pIS4-A	Caudovirales	Siphoviridae	Pis4avirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~phiA8-29	Caudovirales	Ackermannviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~phiAS4	Caudovirales	Myoviridae	Secunda5virus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~phiAS5	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~phage~phiAS7	Caudovirales	Autographiviridae	Aerosvirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~25	Caudovirales	Myoviridae	Secunda5virus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~31	Caudovirales	Myoviridae	Secunda5virus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~44RR2	Caudovirales	Myoviridae	Biquartavirus	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~65	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~Aeh1	Caudovirales	Myoviridae	Unassigned	vConTact2	Aeromonas	Others	#66A61E
Aeromonas~virus~phiO18P	Caudovirales	Myoviridae	Hp1virus	vConTact2	Aeromonas	Others	#66A61E
Aggregatibacter~phage~S1249	Caudovirales	Myoviridae	Unassigned	vConTact2	Aggregatibacter	Others	#66A61E
Aquamicrobium~phage~P14	Caudovirales	Autographiviridae	Aqualcavirus	vConTact2	Aquamicrobium	Others	#66A61E
Archaeal~BJ1~virus	Caudovirales	Siphoviridae	Unassigned	vConTact2	Archaeal	Others	#66A61E
Arthrobacter~phage~Abba	Caudovirales	Myoviridae	Unassigned	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Abidatro	Caudovirales	Siphoviridae	Galaxyvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Adat	Caudovirales	Podoviridae	Jasminevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Amigo	Caudovirales	Siphoviridae	Amigovirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Andrew	Caudovirales	Siphoviridae	Andrewvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~BarretLemon	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Beans	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Bennie	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Brent	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Bridgette	Caudovirales	Siphoviridae	Bridgettevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~CaptnMurica	Caudovirales	Siphoviridae	Gordonvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Circum	Caudovirales	Siphoviridae	Mudcatvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Colucci	Caudovirales	Myoviridae	Radnorvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Constance	Caudovirales	Siphoviridae	Bridgettevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Coral	Caudovirales	Siphoviridae	Coralvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Decurro	Caudovirales	Siphoviridae	Decurrovirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~DrManhattan	Caudovirales	Siphoviridae	Manhattanvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~DrRobert	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~DrYang	Caudovirales	Myoviridae	Radnorvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Eileen	Caudovirales	Siphoviridae	Bridgettevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Galaxy	Caudovirales	Siphoviridae	Galaxyvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Glenn	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Gordon	Caudovirales	Siphoviridae	Gordonvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~HunterDalle	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Jasmine	Caudovirales	Podoviridae	Jasminevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Jawnski	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Joann	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Judy	Caudovirales	Siphoviridae	Bridgettevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~KBurrousTX	Caudovirales	Myoviridae	Radnorvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~KellEzio	Caudovirales	Siphoviridae	Kelleziovirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Kepler	Caudovirales	Siphoviridae	Coralvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Kitkat	Caudovirales	Siphoviridae	Kelleziovirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Korra	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Kuleana	Caudovirales	Siphoviridae	Coralvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Liebe	Caudovirales	Siphoviridae	Liebevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Lymara	Caudovirales	Myoviridae	Radnorvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Maja	Caudovirales	Siphoviridae	Majavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Martha	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Molivia	Caudovirales	Siphoviridae	Amigovirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Mudcat	Caudovirales	Siphoviridae	Mudcatvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Mufasa8	Caudovirales	Siphoviridae	Unassigned	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Peas	Caudovirales	Siphoviridae	Bridgettevirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Piccoletto	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Preamble	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~PrincessTrina	Caudovirales	Myoviridae	Arv1virus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Pumancara	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Shade	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Sonali	Caudovirales	Siphoviridae	Sonalivirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Sonny	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~TripleJ	Caudovirales	Siphoviridae	Unassigned	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Wayne	Caudovirales	Siphoviridae	Korravirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Yang	Caudovirales	Siphoviridae	Yangvirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~Zartrosa	Caudovirales	Myoviridae	Marthavirus	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~vB_ArS-ArV2	Caudovirales	Siphoviridae	Unassigned	vConTact2	Arthrobacter	Others	#66A61E
Arthrobacter~phage~vB_ArtM-ArV1	Caudovirales	Myoviridae	Arv1virus	vConTact2	Arthrobacter	Others	#66A61E
Bacillus~phage~0305phi8-36	Caudovirales	Myoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~AR9	Caudovirales	Myoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BCD7	Caudovirales	Myoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BCP78	Caudovirales	Myoviridae	Tsarbombavirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BCP8-2	Caudovirales	Myoviridae	Bc431virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BCU4	Caudovirales	Myoviridae	Tsarbombavirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BPS10C	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BPS13	Caudovirales	Myoviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~BSP38	Caudovirales	Herelleviridae	Nitunavirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Bam35c	Kalamavirales	Tectiviridae	Betatectivirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Bcp1	Caudovirales	Myoviridae	Bc431virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Belinda	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Bobb	Caudovirales	Myoviridae	Agatevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Bp8p-C	Caudovirales	Myoviridae	Agatevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Bp8p-T	Caudovirales	Myoviridae	Agatevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~CP-51	Caudovirales	Myoviridae	Cp51virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~CampHawk	Caudovirales	Myoviridae	Spo1virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Carmen17	Caudovirales	Siphoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~DIGNKC	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Deep~Blue	Caudovirales	Myoviridae	Bc431virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~DirtyBetty	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Eldridge	Caudovirales	Herelleviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Eyuki	Caudovirales	Myoviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Fah	Caudovirales	Siphoviridae	Wbetavirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~GIL16c	Kalamavirales	Tectiviridae	Betatectivirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Gamma	Caudovirales	Siphoviridae	Wbetavirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Grass	Caudovirales	Myoviridae	Nit1virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Hakuna	Caudovirales	Myoviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~JBP901	Caudovirales	Myoviridae	Bc431virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~JL	Caudovirales	Myoviridae	Cp51virus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Kida	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Mater	Caudovirales	Herelleviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Megatron	Caudovirales	Myoviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Mgbh1	Caudovirales	Siphoviridae	Magadivirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Moonbeam	Caudovirales	Herelleviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Nemo	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Nigalana	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~NotTheCreek	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~PBC1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~PM1	Caudovirales	Siphoviridae	Saundersvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Page	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Palmer	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Pascal	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Pavlov	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~PfEFR-4	Caudovirales	Siphoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~PfEFR-5	Caudovirales	Siphoviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Pony	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Pookie	Caudovirales	Podoviridae	Pagevirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~SIOphi	Caudovirales	Herelleviridae	Unassigned	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~SageFayge	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~SalinJah	Caudovirales	Herelleviridae	Wphvirus	vConTact2	Bacillus	Bacillus	#BEAED4
Bacillus~phage~Shanette	Caudovirales	Myoviridae	Cp51virus	vConTact2	Bacillus	Bacillus	#BEAED4
