""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID"	"koID"
"g000042"	"g000042"	"1"	1	0	0.888888888888889	0.857142857142857	"GCF_000091765:JDBANAHM_00531"	"GCF_000091765:NC_014106.1:495663-496547"	"Diacetylchitobiose uptake system permease protein NgcF"	""	NA	"g000222"	"K10201"
"g000043"	"g000043"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00532"	"GCF_000091765:NC_014106.1:496540-497397"	"Lactose transport system permease protein LacG"	""	NA	"g000223"	""
"g000044"	"g000044"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00533"	"GCF_000091765:NC_014106.1:497397-498689"	"Beta-fructosidase"	"3.2.1.26"	NA	"g000224"	"K01193"
"g000045"	"g000045"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00535"	"GCF_000091765:NC_014106.1:499932-501374"	"Sucrose phosphorylase"	"2.4.1.7"	NA	"g000225"	"K00690"
"g000046"	"g000046"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00544"	"GCF_000091765:NC_014106.1:508254-509621"	"NADH peroxidase"	"1.11.1.1"	NA	"g000226"	"K05910"
"g000047"	"g000047"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00575"	"GCF_000091765:NC_014106.1:543441-544157"	"hypothetical protein"	""	NA	"g000228"	""
"g000048"	"g000048"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00576"	"GCF_000091765:NC_014106.1:544524-544276"	"hypothetical protein"	""	NA	"g000229"	""
"g000049"	"g000049"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00577"	"GCF_000091765:NC_014106.1:544662-544531"	"hypothetical protein"	""	NA	"g000230"	""
"g000050"	"g000050"	"0.4375"	0	0	0	0.142857142857143	"GCF_000091765:JDBANAHM_00578"	"GCF_000091765:NC_014106.1:545807-544887"	"IS30 family transposase ISLsa1"	""	NA	"g000231"	""
"g000051"	"g000051"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00579"	"GCF_000091765:NC_014106.1:545952-546236"	"hypothetical protein"	""	NA	"g000232"	""
"g000052"	"g000052"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00580"	"GCF_000091765:NC_014106.1:546749-546375"	"hypothetical protein"	""	NA	"g000233"	""
"g000053"	"g000053"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00581"	"GCF_000091765:NC_014106.1:547065-546742"	"hypothetical protein"	""	NA	"g000234"	""
"g000054"	"g000054"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00585"	"GCF_000091765:NC_014106.1:550372-549704"	"hypothetical protein"	""	NA	"g000235"	""
"g000055"	"g000055"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00599"	"GCF_000091765:NC_014106.1:561865-562137"	"hypothetical protein"	""	NA	"g000236"	""
"g000056"	"g000056"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00603"	"GCF_000091765:NC_014106.1:566064-567533"	"Multidrug resistance protein 3"	""	NA	"g000237"	""
"g000057"	"g000057"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00606"	"GCF_000091765:NC_014106.1:570066-569626"	"hypothetical protein"	""	NA	"g000238"	""
"g000058"	"g000058"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_00626"	"GCF_000091765:NC_014106.1:590686-591597"	"hypothetical protein"	""	NA	"g000239"	""
"g000059"	"g000059"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00660"	"GCF_000091765:NC_014106.1:630024-629443"	"hypothetical protein"	""	NA	"g000242"	""
"g000060"	"g000060"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00674"	"GCF_000091765:NC_014106.1:642193-642309"	"hypothetical protein"	""	NA	"g000243"	""
"g000061"	"g000061"	"1"	1	1	0.222222222222222	0.285714285714286	"GCF_000091765:JDBANAHM_00675"	"GCF_000091765:NC_014106.1:642356-643060"	"Magnesium and cobalt efflux protein CorC"	""	NA	"g000244"	"K06189"
"g000062"	"g000062"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00790"	"GCF_000091765:NC_014106.1:757041-755089"	"Lipoteichoic acid synthase 1"	""	NA	"g000245"	"K19005"
"g000063"	"g000063"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00794"	"GCF_000091765:NC_014106.1:760708-760929"	"hypothetical protein"	""	NA	"g000246"	""
"g000064"	"g000064"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00814"	"GCF_000091765:NC_014106.1:776097-776390"	"Putative membrane protein insertion efficiency factor"	""	NA	"g000247"	"K08998"
"g000065"	"g000065"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00826"	"GCF_000091765:NC_014106.1:786878-787687"	"hypothetical protein"	""	NA	"g000248"	""
"g000066"	"g000066"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00833"	"GCF_000091765:NC_014106.1:796941-796711"	"hypothetical protein"	""	NA	"g000249"	""
"g000067"	"g000067"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00837"	"GCF_000091765:NC_014106.1:802046-802306"	"hypothetical protein"	""	NA	"g000250"	""
"g000068"	"g000068"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00840"	"GCF_000091765:NC_014106.1:804040-804744"	"Ribosomal large subunit pseudouridine synthase B"	"5.4.99.22"	NA	"g000251"	"K06178"
"g000069"	"g000069"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00841"	"GCF_000091765:NC_014106.1:804845-805726"	"hypothetical protein"	""	NA	"g000252"	""
"g000070"	"g000070"	"0.4375"	0	0	0	0.142857142857143	"GCF_000091765:JDBANAHM_00845"	"GCF_000091765:NC_014106.1:807916-808191"	"hypothetical protein"	""	NA	"g000253"	""
"g000071"	"g000071"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00848"	"GCF_000091765:NC_014106.1:811345-812274"	"hypothetical protein"	""	NA	"g000254"	""
"g000072"	"g000072"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00924"	"GCF_000091765:NC_014106.1:888144-888416"	"hypothetical protein"	""	NA	"g000255"	""
"g000073"	"g000073"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00925"	"GCF_000091765:NC_014106.1:888532-888801"	"hypothetical protein"	""	NA	"g000256"	""
"g000074"	"g000074"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_00936"	"GCF_000091765:NC_014106.1:899001-897586"	"PTS system oligo-beta-mannoside-specific EIIC component"	""	NA	"g000257"	"K02761"
"g000075"	"g000075"	"1"	1	1	0.333333333333333	0.285714285714286	"GCF_000091765:JDBANAHM_00937"	"GCF_000091765:NC_014106.1:900383-899001"	"Aryl-phospho-beta-D-glucosidase BglH"	"3.2.1.86"	NA	"g000258"	"K01223"
"g000076"	"g000076"	"1"	1	1	0.111111111111111	0.142857142857143	"GCF_000091765:JDBANAHM_00942"	"GCF_000091765:NC_014106.1:904356-905189"	"DegV domain-containing protein"	""	NA	"g000259"	""
"g000077"	"g000077"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00949"	"GCF_000091765:NC_014106.1:909171-909899"	"hypothetical protein"	""	NA	"g000260"	""
"g000078"	"g000078"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00951"	"GCF_000091765:NC_014106.1:910442-911038"	"D-ribitol-5-phosphate phosphatase"	"3.1.3.-"	NA	"g000261"	"K21063"
"g000079"	"g000079"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00956"	"GCF_000091765:NC_014106.1:916049-916450"	"hypothetical protein"	""	NA	"g000262"	""
"g000080"	"g000080"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00963"	"GCF_000091765:NC_014106.1:930820-931095"	"hypothetical protein"	""	NA	"g000263"	""
"g000081"	"g000081"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00970"	"GCF_000091765:NC_014106.1:937664-937311"	"hypothetical protein"	""	NA	"g000265"	""
"g000082"	"g000082"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00982"	"GCF_000091765:NC_014106.1:948716-948480"	"hypothetical protein"	""	NA	"g000266"	""
"g000083"	"g000083"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00983"	"GCF_000091765:NC_014106.1:948796-949506"	"Riboflavin transporter RibZ"	""	NA	"g000267"	""
"g000084"	"g000084"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00992"	"GCF_000091765:NC_014106.1:957680-958591"	"Thymidylate synthase"	"2.1.1.45"	NA	"g000268"	""
"g000085"	"g000085"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00998"	"GCF_000091765:NC_014106.1:964925-965644"	"Methionine import system permease protein MetP"	""	NA	"g000269"	"K02072"
"g000086"	"g000086"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01037"	"GCF_000091765:NC_014106.1:1006211-1007503"	"O-acetyltransferase OatA"	"2.3.1.-"	NA	"g000001"	""
"g000087"	"g000087"	"1"	0	1	0.111111111111111	0.142857142857143	"GCF_000091765:JDBANAHM_01080"	"GCF_000091765:NC_014106.1:1044819-1044016"	"SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD"	"2.3.1.-"	NA	"g000002"	"K00662"
"g000088"	"g000088"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01097"	"GCF_000091765:NC_014106.1:1058810-1059421"	"Tyrosine recombinase XerC"	""	NA	"g000003"	"K03733"
"g000089"	"g000089"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01098"	"GCF_000091765:NC_014106.1:1059360-1059719"	"Tyrosine recombinase XerC"	""	NA	"g000004"	"K03733"
"g000090"	"g000090"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01109"	"GCF_000091765:NC_014106.1:1066624-1067367"	"Amino-acid permease RocE"	""	NA	"g000005"	"K02205"
"g000091"	"g000091"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01114"	"GCF_000091765:NC_014106.1:1073453-1074712"	"hypothetical protein"	""	NA	"g000006"	""
"g000092"	"g000092"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01123"	"GCF_000091765:NC_014106.1:1084594-1084875"	"hypothetical protein"	""	NA	"g000007"	""
"g000093"	"g000093"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01124"	"GCF_000091765:NC_014106.1:1085117-1084836"	"hypothetical protein"	""	NA	"g000008"	""
"g000094"	"g000094"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01125"	"GCF_000091765:NC_014106.1:1085371-1085183"	"hypothetical protein"	""	NA	"g000009"	""
"g000095"	"g000095"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01126"	"GCF_000091765:NC_014106.1:1085398-1085598"	"hypothetical protein"	""	NA	"g000010"	""
"g000096"	"g000096"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01127"	"GCF_000091765:NC_014106.1:1085664-1086263"	"Pyridoxine/pyridoxal/pyridoxamine kinase"	"2.7.1.35"	NA	"g000011"	""
"g000097"	"g000097"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01132"	"GCF_000091765:NC_014106.1:1091848-1090895"	"putative AAA domain-containing protein"	""	NA	"g000012"	"K07478"
"g000098"	"g000098"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01133"	"GCF_000091765:NC_014106.1:1092158-1091862"	"Holliday junction ATP-dependent DNA helicase RuvB"	"3.6.4.12"	NA	"g000013"	""
"g000099"	"g000099"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01141"	"GCF_000091765:NC_014106.1:1099424-1101517"	"hypothetical protein"	""	NA	"g000014"	""
"g000100"	"g000100"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01145"	"GCF_000091765:NC_014106.1:1107689-1108405"	"hypothetical protein"	""	NA	"g000015"	""
"g000101"	"g000101"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01148"	"GCF_000091765:NC_014106.1:1109874-1110302"	"hypothetical protein"	""	NA	"g000016"	""
"g000102"	"g000102"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01152"	"GCF_000091765:NC_014106.1:1114413-1114691"	"hypothetical protein"	""	NA	"g000017"	""
"g000103"	"g000103"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01153"	"GCF_000091765:NC_014106.1:1114839-1115405"	"hypothetical protein"	""	NA	"g000018"	""
"g000104"	"g000104"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01157"	"GCF_000091765:NC_014106.1:1117056-1118084"	"hypothetical protein"	""	NA	"g000019"	""
"g000105"	"g000105"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01160"	"GCF_000091765:NC_014106.1:1119618-1120532"	"hypothetical protein"	""	NA	"g000020"	""
"g000106"	"g000106"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01161"	"GCF_000091765:NC_014106.1:1120495-1121175"	"Phosphatidylserine decarboxylase proenzyme 2"	"4.1.1.65"	NA	"g000021"	""
"g000107"	"g000107"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01163"	"GCF_000091765:NC_014106.1:1121647-1121808"	"Formate--tetrahydrofolate ligase"	"6.3.4.3"	NA	"g000022"	""
"g000108"	"g000108"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01164"	"GCF_000091765:NC_014106.1:1121919-1123322"	"Formate--tetrahydrofolate ligase 1"	"6.3.4.3"	NA	"g000023"	"K01938"
"g000109"	"g000109"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01178"	"GCF_000091765:NC_014106.1:1140615-1140493"	"hypothetical protein"	""	NA	"g000024"	""
"g000110"	"g000110"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01212"	"GCF_000091765:NC_014106.1:1180660-1181226"	"Homoserine kinase"	"2.7.1.39"	NA	"g000025"	""
"g000111"	"g000111"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01213"	"GCF_000091765:NC_014106.1:1181235-1181567"	"hypothetical protein"	""	NA	"g000026"	""
"g000112"	"g000112"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01217"	"GCF_000091765:NC_014106.1:1185157-1184735"	"5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI"	"3.1.3.104"	NA	"g000027"	"K20861"
"g000113"	"g000113"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01218"	"GCF_000091765:NC_014106.1:1185525-1185154"	"5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI"	"3.1.3.104"	NA	"g000028"	"K20861"
"g000114"	"g000114"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01255"	"GCF_000091765:NC_014106.1:1221185-1221475"	"hypothetical protein"	""	NA	"g000029"	""
"g000115"	"g000115"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01287"	"GCF_000091765:NC_014106.1:1254146-1253640"	"HTH-type transcriptional regulator CatM"	""	NA	"g000030"	"K21756"
"g000116"	"g000116"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01293"	"GCF_000091765:NC_014106.1:1259164-1258874"	"putative pyridine nucleotide-disulfide oxidoreductase RclA"	""	NA	"g000032"	"K21739"
"g000117"	"g000117"	"0.4375"	0	0	0	0.142857142857143	"GCF_000091765:JDBANAHM_01294"	"GCF_000091765:NC_014106.1:1260183-1259161"	"putative pyridine nucleotide-disulfide oxidoreductase RclA"	""	NA	"g000033"	"K21739"
"g000118"	"g000118"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01297"	"GCF_000091765:NC_014106.1:1264300-1263662"	"Sortase A"	"3.4.22.-"	NA	"g000034"	"K07284"
"g000119"	"g000119"	"0.4375"	0	0	0	0.142857142857143	"GCF_000091765:JDBANAHM_01305"	"GCF_000091765:NC_014106.1:1273540-1272668"	"tRNA pseudouridine synthase B"	"5.4.99.25"	NA	"g000035"	"K03177"
"g000120"	"g000120"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01321"	"GCF_000091765:NC_014106.1:1292328-1291297"	"tRNA1(Val) (adenine(37)-N6)-methyltransferase"	"2.1.1.223"	NA	"g000036"	""
"g000121"	"g000121"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01328"	"GCF_000091765:NC_014106.1:1300596-1300330"	"hypothetical protein"	""	NA	"g000037"	""
"g000122"	"g000122"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_01344"	"GCF_000091765:NC_014106.1:1319393-1315824"	"Chromosome partition protein Smc"	""	NA	"g000039"	"K03529"
"g000123"	"g000123"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01347"	"GCF_000091765:NC_014106.1:1323045-1322266"	"hypothetical protein"	""	NA	"g000040"	""
"g000124"	"g000124"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01357"	"GCF_000091765:NC_014106.1:1332089-1332703"	"ISL3 family transposase ISLhe2"	""	NA	"g000041"	""
"g000125"	"g000125"	"0.0336538461538462"	1	0	0.555555555555556	0	"GCF_000091765:JDBANAHM_01359"	"GCF_000091765:NC_014106.1:1334473-1333799"	"Thiamine pyrophosphokinase"	"2.7.6.2"	NA	"g000042"	"K00949"
"g000126"	"g000126"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_01398"	"GCF_000091765:NC_014106.1:1368956-1369195"	"Xaa-Pro dipeptidyl-peptidase"	"3.4.14.11"	NA	"g000044"	""
"g000127"	"g000127"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_01399"	"GCF_000091765:NC_014106.1:1369290-1371338"	"Xaa-Pro dipeptidyl-peptidase"	"3.4.14.11"	NA	"g000045"	""
"g000128"	"g000128"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01422"	"GCF_000091765:NC_014106.1:1392737-1392270"	"hypothetical protein"	""	NA	"g000046"	""
"g000129"	"g000129"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01430"	"GCF_000091765:NC_014106.1:1404589-1403840"	"hypothetical protein"	""	NA	"g000047"	""
"g000130"	"g000130"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01435"	"GCF_000091765:NC_014106.1:1408217-1408077"	"hypothetical protein"	""	NA	"g000048"	""
"g000131"	"g000131"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01436"	"GCF_000091765:NC_014106.1:1408743-1408201"	"Transcriptional activator protein CopR"	""	NA	"g000049"	""
"g000132"	"g000132"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01458"	"GCF_000091765:NC_014106.1:1438288-1435901"	"hypothetical protein"	""	NA	"g000050"	""
"g000133"	"g000133"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01460"	"GCF_000091765:NC_014106.1:1441222-1440041"	"Protein MalY"	""	NA	"g000051"	"K14155"
"g000134"	"g000134"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01461"	"GCF_000091765:NC_014106.1:1442306-1441230"	"Aminopeptidase YpdF"	"3.4.11.-"	NA	"g000052"	"K08326"
"g000135"	"g000135"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01462"	"GCF_000091765:NC_014106.1:1442913-1442299"	"hypothetical protein"	""	NA	"g000053"	""
"g000136"	"g000136"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01463"	"GCF_000091765:NC_014106.1:1444252-1442936"	"PTS system lactose-specific EIICB component"	""	NA	"g000054"	""
"g000137"	"g000137"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_01464"	"GCF_000091765:NC_014106.1:1444599-1444255"	"Lichenan-specific phosphotransferase enzyme IIB component"	"2.7.1.-"	NA	"g000055"	"K02760"
