Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000022	GCF_000091765:NC_014106.1:1121647-1121808	GCF_000091765:JDBANAHM_01163	Formate--tetrahydrofolate ligase	6.3.4.3	
g000023	GCF_000091765:NC_014106.1:1121919-1123322	GCF_000091765:JDBANAHM_01164	Formate--tetrahydrofolate ligase 1	6.3.4.3	
g000024	GCF_000091765:NC_014106.1:1140615-1140493	GCF_000091765:JDBANAHM_01178	hypothetical protein		
g000025	GCF_000091765:NC_014106.1:1180660-1181226	GCF_000091765:JDBANAHM_01212	Homoserine kinase	2.7.1.39	
g000026	GCF_000091765:NC_014106.1:1181235-1181567	GCF_000091765:JDBANAHM_01213	hypothetical protein		
g000027	GCF_000091765:NC_014106.1:1185157-1184735	GCF_000091765:JDBANAHM_01217	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI	3.1.3.104	
g000028	GCF_000091765:NC_014106.1:1185525-1185154	GCF_000091765:JDBANAHM_01218	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI	3.1.3.104	
g000029	GCF_000091765:NC_014106.1:1221185-1221475	GCF_000091765:JDBANAHM_01255	hypothetical protein		
g000030	GCF_000091765:NC_014106.1:1254146-1253640	GCF_000091765:JDBANAHM_01287	HTH-type transcriptional regulator CatM		
g000031	GCF_000091765:NC_014106.1:125635-126372	GCF_000091765:JDBANAHM_00128	Arginine transport ATP-binding protein ArtM		
g000032	GCF_000091765:NC_014106.1:1259164-1258874	GCF_000091765:JDBANAHM_01293	putative pyridine nucleotide-disulfide oxidoreductase RclA		
g000033	GCF_000091765:NC_014106.1:1260183-1259161	GCF_000091765:JDBANAHM_01294	putative pyridine nucleotide-disulfide oxidoreductase RclA		
g000034	GCF_000091765:NC_014106.1:1264300-1263662	GCF_000091765:JDBANAHM_01297	Sortase A	3.4.22.-	
g000035	GCF_000091765:NC_014106.1:1273540-1272668	GCF_000091765:JDBANAHM_01305	tRNA pseudouridine synthase B	5.4.99.25	
g000036	GCF_000091765:NC_014106.1:1292328-1291297	GCF_000091765:JDBANAHM_01321	tRNA1(Val) (adenine(37)-N6)-methyltransferase	2.1.1.223	
g000037	GCF_000091765:NC_014106.1:1300596-1300330	GCF_000091765:JDBANAHM_01328	hypothetical protein		
g000038	GCF_000091765:NC_014106.1:130891-131676	GCF_000091765:JDBANAHM_00133	hypothetical protein		
g000039	GCF_000091765:NC_014106.1:1319393-1315824	GCF_000091765:JDBANAHM_01344	Chromosome partition protein Smc		
g000040	GCF_000091765:NC_014106.1:1323045-1322266	GCF_000091765:JDBANAHM_01347	hypothetical protein		
g000041	GCF_000091765:NC_014106.1:1332089-1332703	GCF_000091765:JDBANAHM_01357	ISL3 family transposase ISLhe2		
g000042	GCF_000091765:NC_014106.1:1334473-1333799	GCF_000091765:JDBANAHM_01359	Thiamine pyrophosphokinase	2.7.6.2	
g000043	GCF_000091765:NC_014106.1:135934-137046	GCF_000091765:JDBANAHM_00136	N-acetylgalactosamine-6-phosphate deacetylase	3.5.1.-	
g000044	GCF_000091765:NC_014106.1:1368956-1369195	GCF_000091765:JDBANAHM_01398	Xaa-Pro dipeptidyl-peptidase	3.4.14.11	
g000045	GCF_000091765:NC_014106.1:1369290-1371338	GCF_000091765:JDBANAHM_01399	Xaa-Pro dipeptidyl-peptidase	3.4.14.11	
g000046	GCF_000091765:NC_014106.1:1392737-1392270	GCF_000091765:JDBANAHM_01422	hypothetical protein		
g000047	GCF_000091765:NC_014106.1:1404589-1403840	GCF_000091765:JDBANAHM_01430	hypothetical protein		
g000048	GCF_000091765:NC_014106.1:1408217-1408077	GCF_000091765:JDBANAHM_01435	hypothetical protein		
g000049	GCF_000091765:NC_014106.1:1408743-1408201	GCF_000091765:JDBANAHM_01436	Transcriptional activator protein CopR		
g000050	GCF_000091765:NC_014106.1:1438288-1435901	GCF_000091765:JDBANAHM_01458	hypothetical protein		
g000051	GCF_000091765:NC_014106.1:1441222-1440041	GCF_000091765:JDBANAHM_01460	Protein MalY		
g000052	GCF_000091765:NC_014106.1:1442306-1441230	GCF_000091765:JDBANAHM_01461	Aminopeptidase YpdF	3.4.11.-	
g000053	GCF_000091765:NC_014106.1:1442913-1442299	GCF_000091765:JDBANAHM_01462	hypothetical protein		
g000054	GCF_000091765:NC_014106.1:1444252-1442936	GCF_000091765:JDBANAHM_01463	PTS system lactose-specific EIICB component		
g000055	GCF_000091765:NC_014106.1:1444599-1444255	GCF_000091765:JDBANAHM_01464	Lichenan-specific phosphotransferase enzyme IIB component	2.7.1.-	
g000056	GCF_000091765:NC_014106.1:1444941-1444618	GCF_000091765:JDBANAHM_01465	PTS system N,N'-diacetylchitobiose-specific EIIA component		
g000057	GCF_000091765:NC_014106.1:1445999-1444956	GCF_000091765:JDBANAHM_01466	Aminopeptidase YpdE	3.4.11.-	
g000058	GCF_000091765:NC_014106.1:144764-143961	GCF_000091765:JDBANAHM_00143	Tyrosine-protein phosphatase	3.1.3.48	
g000059	GCF_000091765:NC_014106.1:1447897-1446002	GCF_000091765:JDBANAHM_01467	hypothetical protein		
g000060	GCF_000091765:NC_014106.1:1448775-1447984	GCF_000091765:JDBANAHM_01468	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	1.3.1.87	
g000061	GCF_000091765:NC_014106.1:144909-145394	GCF_000091765:JDBANAHM_00144	Putative universal stress protein		
g000062	GCF_000091765:NC_014106.1:1449687-1448812	GCF_000091765:JDBANAHM_01469	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	1.3.1.87	
g000063	GCF_000091765:NC_014106.1:1451725-1451345	GCF_000091765:JDBANAHM_01471	PTS system mannose-specific EIIAB component	2.7.1.191	
g000064	GCF_000091765:NC_014106.1:1452567-1451740	GCF_000091765:JDBANAHM_01472	PTS system mannose-specific EIID component		
g000065	GCF_000091765:NC_014106.1:1453333-1452545	GCF_000091765:JDBANAHM_01473	N-acetylgalactosamine permease IIC component 1		
g000066	GCF_000091765:NC_014106.1:1453814-1453350	GCF_000091765:JDBANAHM_01474	PTS system sorbose-specific EIIB component	2.7.1.206	
g000067	GCF_000091765:NC_014106.1:1454532-1453825	GCF_000091765:JDBANAHM_01475	putative fructoselysine utilization operon transcriptional repressor		
g000068	GCF_000091765:NC_014106.1:1455523-1454552	GCF_000091765:JDBANAHM_01476	Fructosamine deglycase FrlB	3.5.-.-	
g000069	GCF_000091765:NC_014106.1:1459093-1458095	GCF_000091765:JDBANAHM_01479	Catabolite control protein A		
g000070	GCF_000091765:NC_014106.1:146722-146814	GCF_000091765:JDBANAHM_00146	hypothetical protein		
g000071	GCF_000091765:NC_014106.1:1469864-1468665	GCF_000091765:JDBANAHM_01487	hypothetical protein		
g000072	GCF_000091765:NC_014106.1:1486851-1486510	GCF_000091765:JDBANAHM_01507	hypothetical protein		
g000073	GCF_000091765:NC_014106.1:1512321-1511926	GCF_000091765:JDBANAHM_01533	hypothetical protein		
g000074	GCF_000091765:NC_014106.1:151577-152974	GCF_000091765:JDBANAHM_00153	hypothetical protein		
g000075	GCF_000091765:NC_014106.1:1519702-1518593	GCF_000091765:JDBANAHM_01541	putative protein YqeH		
g000076	GCF_000091765:NC_014106.1:1520219-1519695	GCF_000091765:JDBANAHM_01542	hypothetical protein		
g000077	GCF_000091765:NC_014106.1:1520357-1521361	GCF_000091765:JDBANAHM_01543	Adenosine deaminase	3.5.4.4	
g000078	GCF_000091765:NC_014106.1:1523593-1521395	GCF_000091765:JDBANAHM_01544	Alpha-galactosidase Mel36A	3.2.1.22	
g000079	GCF_000091765:NC_014106.1:1525474-1523603	GCF_000091765:JDBANAHM_01545	PTS system beta-glucoside-specific EIIBCA component		
g000080	GCF_000091765:NC_014106.1:1525809-1525492	GCF_000091765:JDBANAHM_01546	hypothetical protein		
g000081	GCF_000091765:NC_014106.1:1526818-1525811	GCF_000091765:JDBANAHM_01547	Sucrose-6-phosphate hydrolase	3.2.1.26	
g000082	GCF_000091765:NC_014106.1:1526923-1527588	GCF_000091765:JDBANAHM_01548	hypothetical protein		
g000083	GCF_000091765:NC_014106.1:1546343-1546831	GCF_000091765:JDBANAHM_01570	hypothetical protein		
g000084	GCF_000091765:NC_014106.1:1546832-1547425	GCF_000091765:JDBANAHM_01571	hypothetical protein		
g000085	GCF_000091765:NC_014106.1:1551328-1550015	GCF_000091765:JDBANAHM_01574	UDP-N-acetylmuramate--L-alanine ligase	6.3.2.8	
g000086	GCF_000091765:NC_014106.1:1560214-1559807	GCF_000091765:JDBANAHM_01585	KHG/KDPG aldolase		
g000087	GCF_000091765:NC_014106.1:1573557-1574309	GCF_000091765:JDBANAHM_01595	Glycerol facilitator-aquaporin gla		
g000088	GCF_000091765:NC_014106.1:1588443-1589210	GCF_000091765:JDBANAHM_01609	hypothetical protein		
g000089	GCF_000091765:NC_014106.1:1590550-1589543	GCF_000091765:JDBANAHM_01611	HTH-type transcriptional activator RhaS		
g000090	GCF_000091765:NC_014106.1:1590740-1592443	GCF_000091765:JDBANAHM_01612	Beta-N-acetylglucosaminidase/beta-glucosidase	3.2.1.21	
g000091	GCF_000091765:NC_014106.1:1592567-1593217	GCF_000091765:JDBANAHM_01613	Acetyl esterase	3.1.1.-	
g000092	GCF_000091765:NC_014106.1:1593307-1593639	GCF_000091765:JDBANAHM_01614	hypothetical protein		
g000093	GCF_000091765:NC_014106.1:1596742-1597701	GCF_000091765:JDBANAHM_01617	Catabolite control protein A		
g000094	GCF_000091765:NC_014106.1:1598406-1597768	GCF_000091765:JDBANAHM_01618	Ribose-5-phosphate isomerase A	5.3.1.6	
g000095	GCF_000091765:NC_014106.1:1599134-1598457	GCF_000091765:JDBANAHM_01619	Ribulose-phosphate 3-epimerase	5.1.3.1	
g000096	GCF_000091765:NC_014106.1:1600060-1599293	GCF_000091765:JDBANAHM_01620	Carbohydrate deacetylase	3.5.1.-	
g000097	GCF_000091765:NC_014106.1:1601020-1600112	GCF_000091765:JDBANAHM_01621	hypothetical protein		
g000098	GCF_000091765:NC_014106.1:1603236-1601032	GCF_000091765:JDBANAHM_01622	PTS system beta-glucoside-specific EIIBCA component		
g000099	GCF_000091765:NC_014106.1:1604083-1603229	GCF_000091765:JDBANAHM_01623	Transcription antiterminator LicT		
g000100	GCF_000091765:NC_014106.1:1605567-1604269	GCF_000091765:JDBANAHM_01624	hypothetical protein		
g000101	GCF_000091765:NC_014106.1:1607048-1605594	GCF_000091765:JDBANAHM_01625	hypothetical protein		
g000102	GCF_000091765:NC_014106.1:1608175-1607159	GCF_000091765:JDBANAHM_01626	HTH-type transcriptional repressor PurR		
g000103	GCF_000091765:NC_014106.1:1608388-1609011	GCF_000091765:JDBANAHM_01627	IS1182 family transposase ISLac1		
g000104	GCF_000091765:NC_014106.1:1609133-1610164	GCF_000091765:JDBANAHM_01628	hypothetical protein		
g000105	GCF_000091765:NC_014106.1:1610933-1610094	GCF_000091765:JDBANAHM_01629	DegV domain-containing protein		
g000106	GCF_000091765:NC_014106.1:1612051-1613085	GCF_000091765:JDBANAHM_01631	IS30 family transposase ISSag3		
g000107	GCF_000091765:NC_014106.1:1615298-1613100	GCF_000091765:JDBANAHM_01632	Alpha-L-rhamnosidase	3.2.1.40	
g000108	GCF_000091765:NC_014106.1:1616590-1615298	GCF_000091765:JDBANAHM_01633	Lichenan permease IIC component		
g000109	GCF_000091765:NC_014106.1:1616709-1617683	GCF_000091765:JDBANAHM_01634	HTH-type transcriptional activator RhaS		
g000110	GCF_000091765:NC_014106.1:1617962-1617696	GCF_000091765:JDBANAHM_01635	hypothetical protein		
g000111	GCF_000091765:NC_014106.1:1618901-1617981	GCF_000091765:JDBANAHM_01636	Beta-glucoside kinase	2.7.1.85	
g000112	GCF_000091765:NC_014106.1:1619628-1618894	GCF_000091765:JDBANAHM_01637	Monoterpene epsilon-lactone hydrolase	3.1.1.83	
g000113	GCF_000091765:NC_014106.1:1619787-1619632	GCF_000091765:JDBANAHM_01638	hypothetical protein		
g000114	GCF_000091765:NC_014106.1:1620995-1619799	GCF_000091765:JDBANAHM_01639	hypothetical protein		
g000115	GCF_000091765:NC_014106.1:1623754-1620992	GCF_000091765:JDBANAHM_01640	hypothetical protein		
g000116	GCF_000091765:NC_014106.1:1623870-1624961	GCF_000091765:JDBANAHM_01641	HTH-type transcriptional activator RhaS		
g000117	GCF_000091765:NC_014106.1:1625832-1625008	GCF_000091765:JDBANAHM_01642	Putative multidrug resistance protein MdtD		
g000118	GCF_000091765:NC_014106.1:1626057-1625866	GCF_000091765:JDBANAHM_01643	hypothetical protein		
g000119	GCF_000091765:NC_014106.1:1626378-1626175	GCF_000091765:JDBANAHM_01644	hypothetical protein		
g000120	GCF_000091765:NC_014106.1:1631981-1631433	GCF_000091765:JDBANAHM_01652	1,4-dihydroxy-2-naphthoate octaprenyltransferase	2.5.1.74	
g000121	GCF_000091765:NC_014106.1:1632343-1631984	GCF_000091765:JDBANAHM_01653	1,4-dihydroxy-2-naphthoate octaprenyltransferase	2.5.1.74	
g000122	GCF_000091765:NC_014106.1:1644428-1642014	GCF_000091765:JDBANAHM_01663	Leucine--tRNA ligase	6.1.1.4	
g000123	GCF_000091765:NC_014106.1:1652116-1651010	GCF_000091765:JDBANAHM_01671	Vitamin B12 import ATP-binding protein BtuD	7.6.2.8	
g000124	GCF_000091765:NC_014106.1:1652757-1652221	GCF_000091765:JDBANAHM_01672	hypothetical protein		
g000125	GCF_000091765:NC_014106.1:1682862-1672204	GCF_000091765:JDBANAHM_01690	hypothetical protein		
g000126	GCF_000091765:NC_014106.1:169947-169528	GCF_000091765:JDBANAHM_00169	hypothetical protein		
g000127	GCF_000091765:NC_014106.1:170348-170620	GCF_000091765:JDBANAHM_00171	hypothetical protein		
g000128	GCF_000091765:NC_014106.1:172869-174203	GCF_000091765:JDBANAHM_00173	hypothetical protein		
g000129	GCF_000091765:NC_014106.1:1742152-1741874	GCF_000091765:JDBANAHM_01746	hypothetical protein		
g000130	GCF_000091765:NC_014106.1:1751883-1749736	GCF_000091765:JDBANAHM_01755	hypothetical protein		
g000131	GCF_000091765:NC_014106.1:1757118-1757609	GCF_000091765:JDBANAHM_01760	IS256 family transposase IS1201		
g000132	GCF_000091765:NC_014106.1:1757606-1757866	GCF_000091765:JDBANAHM_01761	IS256 family transposase ISLdl2		
g000133	GCF_000091765:NC_014106.1:1759286-1758141	GCF_000091765:JDBANAHM_01762	hypothetical protein		
g000134	GCF_000091765:NC_014106.1:1760001-1759270	GCF_000091765:JDBANAHM_01763	hypothetical protein		
g000135	GCF_000091765:NC_014106.1:1760176-1760400	GCF_000091765:JDBANAHM_01764	hypothetical protein		
g000136	GCF_000091765:NC_014106.1:1760411-1760632	GCF_000091765:JDBANAHM_01765	hypothetical protein		
g000137	GCF_000091765:NC_014106.1:1760711-1760914	GCF_000091765:JDBANAHM_01766	hypothetical protein		
g000138	GCF_000091765:NC_014106.1:1763735-1762749	GCF_000091765:JDBANAHM_01768	dTDP-4-dehydrorhamnose reductase	1.1.1.133	
g000139	GCF_000091765:NC_014106.1:1764364-1763756	GCF_000091765:JDBANAHM_01769	dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	
g000140	GCF_000091765:NC_014106.1:1765274-1764390	GCF_000091765:JDBANAHM_01770	Glucose-1-phosphate thymidylyltransferase	2.7.7.24	
g000141	GCF_000091765:NC_014106.1:1766314-1765277	GCF_000091765:JDBANAHM_01771	dTDP-glucose 4,6-dehydratase 2	4.2.1.46	
g000142	GCF_000091765:NC_014106.1:1772041-1771580	GCF_000091765:JDBANAHM_01778	hypothetical protein		
g000143	GCF_000091765:NC_014106.1:1773942-1773499	GCF_000091765:JDBANAHM_01780	hypothetical protein		
g000144	GCF_000091765:NC_014106.1:1774343-1774708	GCF_000091765:JDBANAHM_01781	hypothetical protein		
g000145	GCF_000091765:NC_014106.1:1775153-1776385	GCF_000091765:JDBANAHM_01782	IS110 family transposase ISLhe4		
g000146	GCF_000091765:NC_014106.1:1776827-1777975	GCF_000091765:JDBANAHM_01783	IS110 family transposase ISLhe4		
g000147	GCF_000091765:NC_014106.1:1779699-1778215	GCF_000091765:JDBANAHM_01784	hypothetical protein		
g000148	GCF_000091765:NC_014106.1:1780850-1779711	GCF_000091765:JDBANAHM_01785	hypothetical protein		
g000149	GCF_000091765:NC_014106.1:1781049-1780924	GCF_000091765:JDBANAHM_01786	hypothetical protein		
g000150	GCF_000091765:NC_014106.1:1781345-1781223	GCF_000091765:JDBANAHM_01787	hypothetical protein		
g000151	GCF_000091765:NC_014106.1:1783103-1781769	GCF_000091765:JDBANAHM_01788	hypothetical protein		
g000152	GCF_000091765:NC_014106.1:1784591-1783164	GCF_000091765:JDBANAHM_01789	Putative O-antigen transporter		
g000153	GCF_000091765:NC_014106.1:1785708-1784599	GCF_000091765:JDBANAHM_01790	UDP-galactopyranose mutase	5.4.99.9	
g000154	GCF_000091765:NC_014106.1:1786733-1785711	GCF_000091765:JDBANAHM_01791	hypothetical protein		
g000155	GCF_000091765:NC_014106.1:1788108-1786714	GCF_000091765:JDBANAHM_01792	hypothetical protein		
g000156	GCF_000091765:NC_014106.1:1788931-1788128	GCF_000091765:JDBANAHM_01793	hypothetical protein		
g000157	GCF_000091765:NC_014106.1:1789695-1788943	GCF_000091765:JDBANAHM_01794	hypothetical protein		
g000158	GCF_000091765:NC_014106.1:1790520-1789723	GCF_000091765:JDBANAHM_01795	hypothetical protein		
g000159	GCF_000091765:NC_014106.1:1791194-1790544	GCF_000091765:JDBANAHM_01796	UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase	2.7.8.40	
g000160	GCF_000091765:NC_014106.1:1793748-1792870	GCF_000091765:JDBANAHM_01799	Capsular polysaccharide type 8 biosynthesis protein cap8A		
g000161	GCF_000091765:NC_014106.1:1797077-1798342	GCF_000091765:JDBANAHM_01805	GTPase HflX		
g000162	GCF_000091765:NC_014106.1:1800120-1799899	GCF_000091765:JDBANAHM_01807	hypothetical protein		
g000163	GCF_000091765:NC_014106.1:180291-178819	GCF_000091765:JDBANAHM_00179	S-layer protein		
g000164	GCF_000091765:NC_014106.1:180435-180872	GCF_000091765:JDBANAHM_00180	hypothetical protein		
g000165	GCF_000091765:NC_014106.1:1821146-1820874	GCF_000091765:JDBANAHM_01832	hypothetical protein		
g000166	GCF_000091765:NC_014106.1:1836070-1835402	GCF_000091765:JDBANAHM_01847	Lipopolysaccharide export system ATP-binding protein LptB	3.6.3.-	
g000167	GCF_000091765:NC_014106.1:1837599-1837390	GCF_000091765:JDBANAHM_01852	hypothetical protein		
g000168	GCF_000091765:NC_014106.1:1847923-1847789	GCF_000091765:JDBANAHM_01867	hypothetical protein		
g000169	GCF_000091765:NC_014106.1:1848822-1848712	GCF_000091765:JDBANAHM_01870	hypothetical protein		
g000170	GCF_000091765:NC_014106.1:1858422-1857736	GCF_000091765:JDBANAHM_01880	Transcriptional regulatory protein SrrA		
g000171	GCF_000091765:NC_014106.1:1860514-1858694	GCF_000091765:JDBANAHM_01881	hypothetical protein		
g000172	GCF_000091765:NC_014106.1:1861032-1860526	GCF_000091765:JDBANAHM_01882	PTS system glucose-specific EIIA component		
g000173	GCF_000091765:NC_014106.1:1862471-1861032	GCF_000091765:JDBANAHM_01883	Aryl-phospho-beta-D-glucosidase BglH	3.2.1.86	
g000174	GCF_000091765:NC_014106.1:1863884-1862487	GCF_000091765:JDBANAHM_01884	PTS system beta-glucoside-specific EIIBCA component		
g000175	GCF_000091765:NC_014106.1:1864733-1863900	GCF_000091765:JDBANAHM_01885	Transcription antiterminator LicT		
g000176	GCF_000091765:NC_014106.1:1883498-1883346	GCF_000091765:JDBANAHM_01905	hypothetical protein		
g000177	GCF_000091765:NC_014106.1:1883746-1883495	GCF_000091765:JDBANAHM_01906	Methionine import ATP-binding protein MetN	3.6.3.-	
g000178	GCF_000091765:NC_014106.1:1891100-1892401	GCF_000091765:JDBANAHM_01916	IS200/IS605 family transposase ISLjo5		
g000179	GCF_000091765:NC_014106.1:1904063-1903557	GCF_000091765:JDBANAHM_01928	hypothetical protein		
g000180	GCF_000091765:NC_014106.1:1919007-1918234	GCF_000091765:JDBANAHM_01940	hypothetical protein		
g000181	GCF_000091765:NC_014106.1:1919866-1919153	GCF_000091765:JDBANAHM_01941	hypothetical protein		
g000182	GCF_000091765:NC_014106.1:1921472-1919859	GCF_000091765:JDBANAHM_01942	putative ABC transporter ATP-binding protein		
g000183	GCF_000091765:NC_014106.1:1921845-1921447	GCF_000091765:JDBANAHM_01943	hypothetical protein		
g000184	GCF_000091765:NC_014106.1:1924116-1923286	GCF_000091765:JDBANAHM_01945	hypothetical protein		
g000185	GCF_000091765:NC_014106.1:1925624-1924122	GCF_000091765:JDBANAHM_01946	Glycerol kinase	2.7.1.30	
g000186	GCF_000091765:NC_014106.1:1948123-1949136	GCF_000091765:JDBANAHM_01976	Aspartate--ammonia ligase	6.3.1.1	
g000187	GCF_000091765:NC_014106.1:1953096-1952728	GCF_000091765:JDBANAHM_01980	hypothetical protein		
g000188	GCF_000091765:NC_014106.1:1953565-1953128	GCF_000091765:JDBANAHM_01981	hypothetical protein		
g000189	GCF_000091765:NC_014106.1:1955002-1954271	GCF_000091765:JDBANAHM_01983	hypothetical protein		
g000190	GCF_000091765:NC_014106.1:1958861-1958382	GCF_000091765:JDBANAHM_01987	hypothetical protein		
g000191	GCF_000091765:NC_014106.1:1961101-1960337	GCF_000091765:JDBANAHM_01990	hypothetical protein		
g000192	GCF_000091765:NC_014106.1:1982442-1980928	GCF_000091765:JDBANAHM_02007	D-alanine--D-alanyl carrier protein ligase	6.2.1.54	
g000193	GCF_000091765:NC_014106.1:2018447-2018695	GCF_000091765:JDBANAHM_02042	hypothetical protein		
g000194	GCF_000091765:NC_014106.1:2018756-2019343	GCF_000091765:JDBANAHM_02043	hypothetical protein		
g000195	GCF_000091765:NC_014106.1:2023442-2023684	GCF_000091765:JDBANAHM_02048	hypothetical protein		
g000196	GCF_000091765:NC_014106.1:2035456-2034743	GCF_000091765:JDBANAHM_02060	hypothetical protein		
g000197	GCF_000091765:NC_014106.1:236021-235743	GCF_000091765:JDBANAHM_00230	hypothetical protein		
g000198	GCF_000091765:NC_014106.1:241784-242305	GCF_000091765:JDBANAHM_00236	hypothetical protein		
g000199	GCF_000091765:NC_014106.1:254533-256479	GCF_000091765:JDBANAHM_00245	hypothetical protein		
g000200	GCF_000091765:NC_014106.1:25711-26073	GCF_000091765:JDBANAHM_00027	hypothetical protein		
g000201	GCF_000091765:NC_014106.1:262346-261774	GCF_000091765:JDBANAHM_00253	hypothetical protein		
g000202	GCF_000091765:NC_014106.1:263065-262343	GCF_000091765:JDBANAHM_00254	hypothetical protein		
g000203	GCF_000091765:NC_014106.1:265220-265597	GCF_000091765:JDBANAHM_00258	hypothetical protein		
g000204	GCF_000091765:NC_014106.1:265624-266184	GCF_000091765:JDBANAHM_00259	hypothetical protein		
g000205	GCF_000091765:NC_014106.1:267539-267823	GCF_000091765:JDBANAHM_00261	hypothetical protein		
g000206	GCF_000091765:NC_014106.1:26758-30456	GCF_000091765:JDBANAHM_00028	hypothetical protein		
g000207	GCF_000091765:NC_014106.1:298495-298965	GCF_000091765:JDBANAHM_00289	hypothetical protein		
g000208	GCF_000091765:NC_014106.1:334862-335170	GCF_000091765:JDBANAHM_00338	hypothetical protein		
g000209	GCF_000091765:NC_014106.1:343235-343074	GCF_000091765:JDBANAHM_00350	hypothetical protein		
g000210	GCF_000091765:NC_014106.1:35635-35453	GCF_000091765:JDBANAHM_00033	hypothetical protein		
g000211	GCF_000091765:NC_014106.1:381192-381809	GCF_000091765:JDBANAHM_00399	IS3 family transposase ISLhe6		
g000212	GCF_000091765:NC_014106.1:399541-399933	GCF_000091765:JDBANAHM_00413	hypothetical protein		
g000213	GCF_000091765:NC_014106.1:413545-414165	GCF_000091765:JDBANAHM_00427	dITP/XTP pyrophosphatase	3.6.1.66	
g000214	GCF_000091765:NC_014106.1:414260-415228	GCF_000091765:JDBANAHM_00428	hypothetical protein		
g000215	GCF_000091765:NC_014106.1:46426-45722	GCF_000091765:JDBANAHM_00043	hypothetical protein		
g000216	GCF_000091765:NC_014106.1:46756-46481	GCF_000091765:JDBANAHM_00044	hypothetical protein		
g000217	GCF_000091765:NC_014106.1:47664-46846	GCF_000091765:JDBANAHM_00045	hypothetical protein		
g000218	GCF_000091765:NC_014106.1:47891-47721	GCF_000091765:JDBANAHM_00046	hypothetical protein		
g000219	GCF_000091765:NC_014106.1:489414-490478	GCF_000091765:JDBANAHM_00524	hypothetical protein		
g000220	GCF_000091765:NC_014106.1:492462-493142	GCF_000091765:JDBANAHM_00528	Glycerophosphodiester phosphodiesterase, cytoplasmic	3.1.4.46	
g000221	GCF_000091765:NC_014106.1:494344-495642	GCF_000091765:JDBANAHM_00530	hypothetical protein		
g000222	GCF_000091765:NC_014106.1:495663-496547	GCF_000091765:JDBANAHM_00531	Diacetylchitobiose uptake system permease protein NgcF		
