""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID.1"	"koID"
"g002463"	"g002463"	8.74125874125873e-05	0	0	0	1	"GCF_000466885:JHEEKNKJ_00577"	"GCF_000466885:NZ_AVFH02000275.1:963-1238"	"hypothetical protein"	""	NA	"g002277"	""
"g002477"	"g002477"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_000466885:JHEEKNKJ_00647"	"GCF_000466885:NZ_AVFH02000272.1:12945-12631"	"hypothetical protein"	""	NA	"g002262"	""
"g002478"	"g002478"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_000466885:JHEEKNKJ_00651"	"GCF_000466885:NZ_AVFH02000272.1:16115-16492"	"Protein QmcA"	""	NA	"g002263"	""
"g002486"	"g002486"	8.74125874125873e-05	1	0	1	0	"GCF_000466885:JHEEKNKJ_00679"	"GCF_000466885:NZ_AVFH02000270.1:12077-13543"	"Transcriptional regulator MtlR"	""	NA	"g002255"	"K03483"
"g002521"	"g002521"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_000466885:JHEEKNKJ_00840"	"GCF_000466885:NZ_AVFH02000261.1:5125-5631"	"hypothetical protein"	""	NA	"g002220"	""
"g002522"	"g002522"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_000466885:JHEEKNKJ_00844"	"GCF_000466885:NZ_AVFH02000261.1:8345-9220"	"putative inner membrane transporter YicL"	""	NA	"g002221"	""
"g002523"	"g002523"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_000466885:JHEEKNKJ_00854"	"GCF_000466885:NZ_AVFH02000260.1:2329-1868"	"hypothetical protein"	""	NA	"g002215"	""
"g002524"	"g002524"	8.74125874125873e-05	1	0	1	0	"GCF_000466885:JHEEKNKJ_00855"	"GCF_000466885:NZ_AVFH02000260.1:2786-2292"	"putative endoglucanase"	"3.2.1.4"	NA	"g002216"	""
"g002525"	"g002525"	8.74125874125873e-05	1	0	1	0	"GCF_000466885:JHEEKNKJ_00858"	"GCF_000466885:NZ_AVFH02000260.1:4514-4810"	"S-layer protein"	""	NA	"g002217"	""
"g005124"	"g005124"	0.00874125874125874	0	1	0.111111111111111	0.857142857142857	"GCF_000466885:JHEEKNKJ_01459"	"GCF_000466885:NZ_AVFH02000210.1:8131-8328"	"Single-stranded DNA-binding protein"	""	NA	"g002067"	""
"g005280"	"g005280"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_000466885:JHEEKNKJ_01986"	"GCF_000466885:NZ_AVFH02000144.1:575-703"	"hypothetical protein"	""	NA	"g001908"	""
"g005285"	"g005285"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_000466885:JHEEKNKJ_02001"	"GCF_000466885:NZ_AVFH02000142.1:1997-1545"	"putative ABC transporter ATP-binding protein NosF"	""	NA	"g001902"	""
"g005353"	"g005353"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_000466885:JHEEKNKJ_02234"	"GCF_000466885:NZ_AVFH02000098.1:3212-2922"	"hypothetical protein"	""	NA	"g001831"	""
"g005357"	"g005357"	8.74125874125873e-05	1	0	1	0	"GCF_000466885:JHEEKNKJ_02239"	"GCF_000466885:NZ_AVFH02000097.1:74-1594"	"Pyruvate oxidase"	"1.2.3.3"	NA	"g001830"	"K00158"
"g005358"	"g005358"	0.00480769230769231	1	1	1	0.285714285714286	"GCF_000466885:JHEEKNKJ_02245"	"GCF_000466885:NZ_AVFH02000096.1:3909-3652"	"hypothetical protein"	""	NA	"g001829"	""
"g005446"	"g005446"	0.0405594405594406	0	1	0.222222222222222	0.857142857142857	"GCF_000466885:JHEEKNKJ_02462"	"GCF_000466885:NZ_AVFH02000037.1:2189-1962"	"IS982 family transposase ISLh1"	""	NA	"g001741"	""
"g005568"	"g005568"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_000497065:DMMJJFDP_00960"	"GCF_000497065:NZ_AXLM01000016.1:33955-34107"	"hypothetical protein"	""	NA	"g002495"	""
"g005570"	"g005570"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_000497065:DMMJJFDP_00964"	"GCF_000497065:NZ_AXLM01000016.1:37633-37073"	"hypothetical protein"	""	NA	"g002497"	""
"g005572"	"g005572"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_000497065:DMMJJFDP_01014"	"GCF_000497065:NZ_AXLM01000019.1:4764-5216"	"hypothetical protein"	""	NA	"g002499"	""
"g005573"	"g005573"	8.74125874125873e-05	1	0	1	0	"GCF_000497065:DMMJJFDP_01033"	"GCF_000497065:NZ_AXLM01000021.1:29-223"	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"	"2.3.1.89"	NA	"g002502"	"K05822"
"g005626"	"g005626"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000497065:DMMJJFDP_01644"	"GCF_000497065:NZ_AXLM01000047.1:34899-35348"	"hypothetical protein"	""	NA	"g002549"	""
"g005627"	"g005627"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000497065:DMMJJFDP_01657"	"GCF_000497065:NZ_AXLM01000049.1:13428-14411"	"Glycolate permease GlcA"	""	NA	"g002550"	"K02550"
"g005628"	"g005628"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_000497065:DMMJJFDP_01664"	"GCF_000497065:NZ_AXLM01000049.1:19631-19891"	"hypothetical protein"	""	NA	"g002551"	""
"g005629"	"g005629"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_000497065:DMMJJFDP_01672"	"GCF_000497065:NZ_AXLM01000049.1:26512-27750"	"hypothetical protein"	""	NA	"g002552"	""
"g005630"	"g005630"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000497065:DMMJJFDP_01732"	"GCF_000497065:NZ_AXLM01000053.1:12465-11845"	"Ribosomal RNA small subunit methyltransferase C"	"2.1.1.172"	NA	"g002553"	"K00564"
"g005706"	"g005706"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_00093"	"GCF_001311685:NZ_BBBS01000001.1:53957-54700"	"ATP-dependent DNA helicase PcrA"	"3.6.4.12"	NA	"g002621"	"K03657"
"g005709"	"g005709"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00096"	"GCF_001311685:NZ_BBBS01000001.1:56574-56744"	"DNA ligase"	"6.5.1.2"	NA	"g002625"	"K01972"
"g005712"	"g005712"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00099"	"GCF_001311685:NZ_BBBS01000001.1:57361-57576"	"hypothetical protein"	""	NA	"g002628"	""
"g005713"	"g005713"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_00100"	"GCF_001311685:NZ_BBBS01000001.1:57551-57907"	"hypothetical protein"	""	NA	"g002629"	""
"g005723"	"g005723"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_00120"	"GCF_001311685:NZ_BBBS01000001.1:69696-70337"	"Putative multidrug resistance protein MdtD"	""	NA	"g002639"	""
"g005727"	"g005727"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00127"	"GCF_001311685:NZ_BBBS01000001.1:74887-75096"	"hypothetical protein"	""	NA	"g002644"	""
"g005734"	"g005734"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00135"	"GCF_001311685:NZ_BBBS01000001.1:78788-78937"	"hypothetical protein"	""	NA	"g002652"	""
"g005738"	"g005738"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_00139"	"GCF_001311685:NZ_BBBS01000002.1:668-1108"	"IS30 family transposase ISApl1"	""	NA	"g002719"	""
"g005740"	"g005740"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_001311685:GPGNHPAH_00141"	"GCF_001311685:NZ_BBBS01000002.1:1476-2051"	"hypothetical protein"	""	NA	"g002670"	""
"g005741"	"g005741"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00143"	"GCF_001311685:NZ_BBBS01000002.1:3197-3024"	"putative HTH-type transcriptional regulator YybR"	""	NA	"g002691"	""
"g005742"	"g005742"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00144"	"GCF_001311685:NZ_BBBS01000002.1:3360-3235"	"hypothetical protein"	""	NA	"g002693"	""
"g005743"	"g005743"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00145"	"GCF_001311685:NZ_BBBS01000002.1:3538-4533"	"Zinc-type alcohol dehydrogenase-like protein"	""	NA	"g002695"	""
"g005744"	"g005744"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00146"	"GCF_001311685:NZ_BBBS01000002.1:5211-4855"	"Methylated-DNA--protein-cysteine methyltransferase"	"2.1.1.63"	NA	"g002705"	""
"g005745"	"g005745"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00147"	"GCF_001311685:NZ_BBBS01000002.1:5491-5195"	"Methylated-DNA--protein-cysteine methyltransferase"	"2.1.1.63"	NA	"g002707"	""
"g005746"	"g005746"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00148"	"GCF_001311685:NZ_BBBS01000002.1:5762-5562"	"hypothetical protein"	""	NA	"g002712"	""
"g005747"	"g005747"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00149"	"GCF_001311685:NZ_BBBS01000002.1:6078-5836"	"hypothetical protein"	""	NA	"g002714"	""
"g005748"	"g005748"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00150"	"GCF_001311685:NZ_BBBS01000002.1:6334-6984"	"hypothetical protein"	""	NA	"g002715"	""
"g005749"	"g005749"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00151"	"GCF_001311685:NZ_BBBS01000002.1:6950-7204"	"hypothetical protein"	""	NA	"g002721"	""
"g005750"	"g005750"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00152"	"GCF_001311685:NZ_BBBS01000002.1:7240-7428"	"hypothetical protein"	""	NA	"g002722"	""
"g005751"	"g005751"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00153"	"GCF_001311685:NZ_BBBS01000002.1:7479-7727"	"hypothetical protein"	""	NA	"g002723"	""
"g005752"	"g005752"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00154"	"GCF_001311685:NZ_BBBS01000002.1:7705-8445"	"L-lactate dehydrogenase"	"1.1.-.-"	NA	"g002724"	""
"g005753"	"g005753"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00155"	"GCF_001311685:NZ_BBBS01000002.1:8782-9000"	"hypothetical protein"	""	NA	"g002726"	""
"g005754"	"g005754"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00156"	"GCF_001311685:NZ_BBBS01000002.1:9087-9200"	"hypothetical protein"	""	NA	"g002727"	""
"g005755"	"g005755"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00157"	"GCF_001311685:NZ_BBBS01000002.1:9202-9363"	"hypothetical protein"	""	NA	"g002728"	""
"g005756"	"g005756"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00158"	"GCF_001311685:NZ_BBBS01000002.1:9422-9667"	"Serine hydroxymethyltransferase"	"2.1.2.1"	NA	"g002729"	"K00600"
"g005757"	"g005757"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00159"	"GCF_001311685:NZ_BBBS01000002.1:9648-10655"	"Serine hydroxymethyltransferase"	"2.1.2.1"	NA	"g002730"	"K00600"
"g005758"	"g005758"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00160"	"GCF_001311685:NZ_BBBS01000002.1:10764-10982"	"Aspartate-proton symporter"	""	NA	"g002660"	""
"g005762"	"g005762"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00164"	"GCF_001311685:NZ_BBBS01000002.1:13144-12935"	"hypothetical protein"	""	NA	"g002665"	""
"g005763"	"g005763"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00165"	"GCF_001311685:NZ_BBBS01000002.1:13455-13757"	"Oligo-1,6-glucosidase"	"3.2.1.10"	NA	"g002666"	""
"g005764"	"g005764"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00166"	"GCF_001311685:NZ_BBBS01000002.1:13754-14347"	"Glucan 1,6-alpha-glucosidase"	"3.2.1.70"	NA	"g002667"	"K01215"
"g005765"	"g005765"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00167"	"GCF_001311685:NZ_BBBS01000002.1:14474-14719"	"Oligo-1,6-glucosidase"	"3.2.1.10"	NA	"g002668"	""
"g005769"	"g005769"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00172"	"GCF_001311685:NZ_BBBS01000002.1:16827-17054"	"ATP-dependent RNA helicase CshA"	"3.6.4.13"	NA	"g002673"	"K05592"
"g005770"	"g005770"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00173"	"GCF_001311685:NZ_BBBS01000002.1:17131-18312"	"ATP-dependent RNA helicase CshA"	"3.6.4.13"	NA	"g002674"	"K05592"
"g005771"	"g005771"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00174"	"GCF_001311685:NZ_BBBS01000002.1:18493-18753"	"Holo-[acyl-carrier-protein] synthase"	"2.7.8.7"	NA	"g002675"	"K00997"
"g005775"	"g005775"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_00180"	"GCF_001311685:NZ_BBBS01000002.1:22819-23928"	"Transcription-repair-coupling factor"	"3.6.4.-"	NA	"g002679"	"K03723"
"g005777"	"g005777"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00182"	"GCF_001311685:NZ_BBBS01000002.1:24681-25601"	"Transcription-repair-coupling factor"	"3.6.4.-"	NA	"g002681"	"K03723"
"g005778"	"g005778"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00183"	"GCF_001311685:NZ_BBBS01000002.1:25579-25995"	"Transcription-repair-coupling factor"	"3.6.4.-"	NA	"g002682"	""
"g005779"	"g005779"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00184"	"GCF_001311685:NZ_BBBS01000002.1:26011-26232"	"hypothetical protein"	""	NA	"g002683"	""
"g005780"	"g005780"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00185"	"GCF_001311685:NZ_BBBS01000002.1:26322-26564"	"hypothetical protein"	""	NA	"g002684"	""
"g005781"	"g005781"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00187"	"GCF_001311685:NZ_BBBS01000002.1:27066-28355"	"tRNA(Ile)-lysidine synthase"	"6.3.4.19"	NA	"g002685"	""
"g005783"	"g005783"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00189"	"GCF_001311685:NZ_BBBS01000002.1:28776-30200"	"ATP-dependent zinc metalloprotease FtsH"	"3.4.24.-"	NA	"g002687"	"K03798"
"g005784"	"g005784"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00190"	"GCF_001311685:NZ_BBBS01000002.1:30209-30475"	"ATP-dependent zinc metalloprotease FtsH"	"3.4.24.-"	NA	"g002688"	"K03798"
"g005785"	"g005785"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00191"	"GCF_001311685:NZ_BBBS01000002.1:30432-30620"	"hypothetical protein"	""	NA	"g002689"	""
"g005786"	"g005786"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00193"	"GCF_001311685:NZ_BBBS01000002.1:31641-32300"	"tRNA-dihydrouridine synthase B"	"1.3.1.-"	NA	"g002690"	"K05540"
"g005787"	"g005787"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00194"	"GCF_001311685:NZ_BBBS01000002.1:32293-32682"	"tRNA-dihydrouridine synthase B"	"1.3.1.-"	NA	"g002692"	"K05540"
"g005788"	"g005788"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00196"	"GCF_001311685:NZ_BBBS01000002.1:34542-35309"	"hypothetical protein"	""	NA	"g002694"	""
"g005789"	"g005789"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00200"	"GCF_001311685:NZ_BBBS01000002.1:36401-37141"	"ATP-dependent Clp protease ATP-binding subunit ClpC1"	""	NA	"g002696"	"K03696"
"g005790"	"g005790"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00201"	"GCF_001311685:NZ_BBBS01000002.1:37083-37706"	"ATP-dependent Clp protease ATP-binding subunit ClpC"	""	NA	"g002697"	"K03696"
"g005791"	"g005791"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00202"	"GCF_001311685:NZ_BBBS01000002.1:37721-38881"	"ATP-dependent Clp protease ATP-binding subunit ClpC"	""	NA	"g002698"	"K03696"
"g005793"	"g005793"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00205"	"GCF_001311685:NZ_BBBS01000002.1:44837-44998"	"hypothetical protein"	""	NA	"g002700"	""
"g005794"	"g005794"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_001311685:GPGNHPAH_00206"	"GCF_001311685:NZ_BBBS01000002.1:45004-46416"	"DNA-directed RNA polymerase subunit beta'"	"2.7.7.6"	NA	"g002701"	"K03046"
"g005798"	"g005798"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00217"	"GCF_001311685:NZ_BBBS01000002.1:53506-53748"	"30S ribosomal protein S19"	""	NA	"g002706"	"K02965"
"g005799"	"g005799"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_00223"	"GCF_001311685:NZ_BBBS01000002.1:55753-55944"	"50S ribosomal protein L14"	""	NA	"g002708"	"K02874"
"g005912"	"g005912"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_00381"	"GCF_001311685:NZ_BBBS01000004.1:23299-23520"	"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"	"2.4.1.227"	NA	"g002827"	""
"g006388"	"g006388"	0.00323426573426573	1	1	0.222222222222222	1	"GCF_001311685:GPGNHPAH_00989"	"GCF_001311685:NZ_BBBS01000011.1:5845-5693"	"hypothetical protein"	""	NA	"g003341"	""
"g006691"	"g006691"	0.0336538461538462	1	0	0.555555555555556	0	"GCF_001311685:GPGNHPAH_01391"	"GCF_001311685:NZ_BBBS01000018.1:2744-2262"	"hypothetical protein"	""	NA	"g003623"	""
"g006895"	"g006895"	0.0336538461538462	1	1	0.444444444444444	1	"GCF_001311685:GPGNHPAH_01662"	"GCF_001311685:NZ_BBBS01000023.1:11399-10716"	"Carbamoyl-phosphate synthase large chain"	"6.3.5.5"	NA	"g003799"	"K01955"
"g007005"	"g007005"	0.0192307692307692	1	1	1	0.428571428571429	"GCF_001311685:GPGNHPAH_01799"	"GCF_001311685:NZ_BBBS01000026.1:8127-8026"	"hypothetical protein"	""	NA	"g003948"	""
"g007020"	"g007020"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_01816"	"GCF_001311685:NZ_BBBS01000026.1:16520-15408"	"hypothetical protein"	""	NA	"g003920"	""
"g007023"	"g007023"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_01819"	"GCF_001311685:NZ_BBBS01000026.1:17906-17721"	"putative protein YhaN"	""	NA	"g003923"	""
"g007030"	"g007030"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_01827"	"GCF_001311685:NZ_BBBS01000026.1:21541-21281"	"hypothetical protein"	""	NA	"g003931"	""
"g007036"	"g007036"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_01833"	"GCF_001311685:NZ_BBBS01000026.1:25411-24935"	"hypothetical protein"	""	NA	"g003937"	""
"g007053"	"g007053"	0.0336538461538462	1	1	0.444444444444444	1	"GCF_001311685:GPGNHPAH_01853"	"GCF_001311685:NZ_BBBS01000027.1:10963-11400"	"hypothetical protein"	""	NA	"g003955"	""
"g007054"	"g007054"	0.0336538461538462	1	1	0.444444444444444	1	"GCF_001311685:GPGNHPAH_01854"	"GCF_001311685:NZ_BBBS01000027.1:11655-11924"	"hypothetical protein"	""	NA	"g003956"	""
"g007082"	"g007082"	0.000874125874125875	0	1	0	0.857142857142857	"GCF_001311685:GPGNHPAH_01892"	"GCF_001311685:NZ_BBBS01000028.1:10796-9681"	"putative ABC transporter ATP-binding protein"	""	NA	"g003988"	"K06147"
"g007087"	"g007087"	0.0192307692307692	0	0	0	0.571428571428571	"GCF_001311685:GPGNHPAH_01898"	"GCF_001311685:NZ_BBBS01000028.1:14203-14607"	"ABC transporter glutamine-binding protein GlnH"	""	NA	"g003995"	"K10039"
