Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000087	GCF_000159455:NC_015697.1:1012622-1014052	GCF_000159455:FOEEPEMJ_01049	Na(+)/H(+) antiporter NhaC		
g000088	GCF_000159455:NC_015697.1:102920-101460	GCF_000159455:FOEEPEMJ_00107	Teichuronic acid biosynthesis protein TuaB		
g000089	GCF_000159455:NC_015697.1:104405-104139	GCF_000159455:FOEEPEMJ_00109	hypothetical protein		
g000090	GCF_000159455:NC_015697.1:105118-104423	GCF_000159455:FOEEPEMJ_00110	Glycosyltransferase GlyG		
g000091	GCF_000159455:NC_015697.1:1065583-1066236	GCF_000159455:FOEEPEMJ_01099	hypothetical protein		
g000092	GCF_000159455:NC_015697.1:1068346-1067798	GCF_000159455:FOEEPEMJ_01102	ISLre2 family transposase ISLre2		
g000093	GCF_000159455:NC_015697.1:1084653-1084988	GCF_000159455:FOEEPEMJ_01119	hypothetical protein		
g000094	GCF_000159455:NC_015697.1:1089674-1090546	GCF_000159455:FOEEPEMJ_01125	hypothetical protein		
g000095	GCF_000159455:NC_015697.1:1100337-1100540	GCF_000159455:FOEEPEMJ_01135	hypothetical protein		
g000096	GCF_000159455:NC_015697.1:1102334-1101474	GCF_000159455:FOEEPEMJ_01137	IS30 family transposase IS6770		
g000097	GCF_000159455:NC_015697.1:1108745-1108365	GCF_000159455:FOEEPEMJ_01147	hypothetical protein		
g000098	GCF_000159455:NC_015697.1:1109827-1109519	GCF_000159455:FOEEPEMJ_01149	hypothetical protein		
g000099	GCF_000159455:NC_015697.1:1112507-1112190	GCF_000159455:FOEEPEMJ_01152	hypothetical protein		
g000100	GCF_000159455:NC_015697.1:1136167-1136730	GCF_000159455:FOEEPEMJ_01172	Single-stranded DNA-binding protein A		
g000101	GCF_000159455:NC_015697.1:1146073-1147140	GCF_000159455:FOEEPEMJ_01183	hypothetical protein		
g000102	GCF_000159455:NC_015697.1:1157157-1158320	GCF_000159455:FOEEPEMJ_01194	IS110 family transposase ISSsu7		
g000103	GCF_000159455:NC_015697.1:1200249-1202036	GCF_000159455:FOEEPEMJ_01225	hypothetical protein		
g000104	GCF_000159455:NC_015697.1:1217798-1218436	GCF_000159455:FOEEPEMJ_01241	Oligo-1,6-glucosidase	3.2.1.10	
g000105	GCF_000159455:NC_015697.1:1218423-1219385	GCF_000159455:FOEEPEMJ_01242	hypothetical protein		
g000106	GCF_000159455:NC_015697.1:1230166-1230315	GCF_000159455:FOEEPEMJ_01249	hypothetical protein		
g000107	GCF_000159455:NC_015697.1:1233963-1233520	GCF_000159455:FOEEPEMJ_01254	IS1182 family transposase ISStin8		
g000108	GCF_000159455:NC_015697.1:1258661-1259350	GCF_000159455:FOEEPEMJ_01277	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP		
g000109	GCF_000159455:NC_015697.1:1259382-1260554	GCF_000159455:FOEEPEMJ_01278	Adaptive-response sensory-kinase SasA	2.7.-.-	
g000110	GCF_000159455:NC_015697.1:1314958-1318569	GCF_000159455:FOEEPEMJ_01324	hypothetical protein		
g000111	GCF_000159455:NC_015697.1:1324914-1324588	GCF_000159455:FOEEPEMJ_01330	hypothetical protein		
g000112	GCF_000159455:NC_015697.1:1325231-1328266	GCF_000159455:FOEEPEMJ_01331	Chromosome partition protein Smc		
g000113	GCF_000159455:NC_015697.1:1330196-1329555	GCF_000159455:FOEEPEMJ_01335	hypothetical protein		
g000114	GCF_000159455:NC_015697.1:1336570-1336770	GCF_000159455:FOEEPEMJ_01341	hypothetical protein		
g000115	GCF_000159455:NC_015697.1:1342584-1343045	GCF_000159455:FOEEPEMJ_01347	hypothetical protein		
g000116	GCF_000159455:NC_015697.1:1348214-1348846	GCF_000159455:FOEEPEMJ_01355	hypothetical protein		
g000117	GCF_000159455:NC_015697.1:1362816-1363520	GCF_000159455:FOEEPEMJ_01371	hypothetical protein		
g000118	GCF_000159455:NC_015697.1:1373274-1373134	GCF_000159455:FOEEPEMJ_01385	hypothetical protein		
g000119	GCF_000159455:NC_015697.1:1394250-1395191	GCF_000159455:FOEEPEMJ_01404	Exopolyphosphatase	3.6.1.11	
g000120	GCF_000159455:NC_015697.1:1471766-1470459	GCF_000159455:FOEEPEMJ_01474	ISL3 family transposase ISSpn3		
g000121	GCF_000159455:NC_015697.1:1473494-1473862	GCF_000159455:FOEEPEMJ_01477	hypothetical protein		
g000122	GCF_000159455:NC_015697.1:1474161-1474003	GCF_000159455:FOEEPEMJ_01478	hypothetical protein		
g000123	GCF_000159455:NC_015697.1:148716-147991	GCF_000159455:FOEEPEMJ_00154	IS110 family transposase ISSsu7		
g000124	GCF_000159455:NC_015697.1:1494909-1495115	GCF_000159455:FOEEPEMJ_01499	hypothetical protein		
g000125	GCF_000159455:NC_015697.1:1589290-1589625	GCF_000159455:FOEEPEMJ_01600	hypothetical protein		
g000126	GCF_000159455:NC_015697.1:1589567-1589884	GCF_000159455:FOEEPEMJ_01601	hypothetical protein		
g000127	GCF_000159455:NC_015697.1:1622629-1623570	GCF_000159455:FOEEPEMJ_01631	putative cell division protein WhiA		
g000128	GCF_000159455:NC_015697.1:1625048-1625428	GCF_000159455:FOEEPEMJ_01635	IS30 family transposase IS1062		
g000129	GCF_000159455:NC_015697.1:1635664-1638069	GCF_000159455:FOEEPEMJ_01646	Ribonuclease R	3.1.13.1	
g000130	GCF_000159455:NC_015697.1:16657-14882	GCF_000159455:FOEEPEMJ_00023	Levansucrase	2.4.1.10	
g000131	GCF_000159455:NC_015697.1:1738327-1739283	GCF_000159455:FOEEPEMJ_01750	IS30 family transposase ISHahy10		
g000132	GCF_000159455:NC_015697.1:1742010-1742216	GCF_000159455:FOEEPEMJ_01754	Oxalyl-CoA decarboxylase	4.1.1.8	
g000133	GCF_000159455:NC_015697.1:1743843-1744634	GCF_000159455:FOEEPEMJ_01757	ISLre2 family transposase ISLre2		
g000134	GCF_000159455:NC_015697.1:1744621-1745226	GCF_000159455:FOEEPEMJ_01758	ISLre2 family transposase ISLre2		
g000135	GCF_000159455:NC_015697.1:1813878-1814069	GCF_000159455:FOEEPEMJ_01822	hypothetical protein		
g000136	GCF_000159455:NC_015697.1:1916851-1915895	GCF_000159455:FOEEPEMJ_01942	ISL3 family transposase ISSpn3		
g000137	GCF_000159455:NC_015697.1:1917200-1916946	GCF_000159455:FOEEPEMJ_01943	hypothetical protein		
g000138	GCF_000159455:NC_015697.1:1924057-1924578	GCF_000159455:FOEEPEMJ_01951	Phosphopantetheine adenylyltransferase	2.7.7.3	
g000139	GCF_000159455:NC_015697.1:1955840-1956025	GCF_000159455:FOEEPEMJ_01980	hypothetical protein		
g000140	GCF_000159455:NC_015697.1:1956367-1956504	GCF_000159455:FOEEPEMJ_01982	hypothetical protein		
g000141	GCF_000159455:NC_015697.1:1957293-1958072	GCF_000159455:FOEEPEMJ_01985	hypothetical protein		
g000142	GCF_000159455:NC_015697.1:1963094-1963516	GCF_000159455:FOEEPEMJ_01991	hypothetical protein		
g000143	GCF_000159455:NC_015697.1:2003385-2003681	GCF_000159455:FOEEPEMJ_02029	Hydroxycarboxylate dehydrogenase B	1.1.1.-	
g000144	GCF_000159455:NC_015697.1:2019447-2019869	GCF_000159455:FOEEPEMJ_02046	Choloylglycine hydrolase	3.5.1.24	
g000145	GCF_000159455:NC_015697.1:2075645-2075842	GCF_000159455:FOEEPEMJ_02099	DNA topoisomerase 1	5.6.2.1	
g000146	GCF_000159455:NC_015697.1:2075826-2077766	GCF_000159455:FOEEPEMJ_02100	DNA topoisomerase 1	5.6.2.1	
g000147	GCF_000159455:NC_015697.1:2088979-2089758	GCF_000159455:FOEEPEMJ_02112	IS30 family transposase IS1252		
g000148	GCF_000159455:NC_015697.1:2089700-2089948	GCF_000159455:FOEEPEMJ_02113	hypothetical protein		
g000149	GCF_000159455:NC_015697.1:2099733-2099939	GCF_000159455:FOEEPEMJ_02126	hypothetical protein		
g000150	GCF_000159455:NC_015697.1:2100995-2101201	GCF_000159455:FOEEPEMJ_02130	hypothetical protein		
g000151	GCF_000159455:NC_015697.1:2101413-2101643	GCF_000159455:FOEEPEMJ_02132	hypothetical protein		
g000152	GCF_000159455:NC_015697.1:2101636-2101908	GCF_000159455:FOEEPEMJ_02133	hypothetical protein		
g000153	GCF_000159455:NC_015697.1:2105424-2105576	GCF_000159455:FOEEPEMJ_02139	hypothetical protein		
g000154	GCF_000159455:NC_015697.1:2109281-2109490	GCF_000159455:FOEEPEMJ_02147	hypothetical protein		
g000155	GCF_000159455:NC_015697.1:2109480-2109722	GCF_000159455:FOEEPEMJ_02148	hypothetical protein		
g000156	GCF_000159455:NC_015697.1:2110190-2110384	GCF_000159455:FOEEPEMJ_02150	hypothetical protein		
g000157	GCF_000159455:NC_015697.1:2110400-2110495	GCF_000159455:FOEEPEMJ_02151	hypothetical protein		
g000158	GCF_000159455:NC_015697.1:2112304-2112783	GCF_000159455:FOEEPEMJ_02155	hypothetical protein		
g000159	GCF_000159455:NC_015697.1:2113925-2114203	GCF_000159455:FOEEPEMJ_02158	hypothetical protein		
g000160	GCF_000159455:NC_015697.1:21297-20983	GCF_000159455:FOEEPEMJ_00029	hypothetical protein		
g000161	GCF_000159455:NC_015697.1:2132272-2132616	GCF_000159455:FOEEPEMJ_02177	hypothetical protein		
g000162	GCF_000159455:NC_015697.1:2135302-2135700	GCF_000159455:FOEEPEMJ_02180	hypothetical protein		
g000163	GCF_000159455:NC_015697.1:2135701-2135844	GCF_000159455:FOEEPEMJ_02181	hypothetical protein		
g000164	GCF_000159455:NC_015697.1:2135944-2136324	GCF_000159455:FOEEPEMJ_02182	hypothetical protein		
g000165	GCF_000159455:NC_015697.1:2136485-2136961	GCF_000159455:FOEEPEMJ_02183	hypothetical protein		
g000166	GCF_000159455:NC_015697.1:2138047-2138205	GCF_000159455:FOEEPEMJ_02185	hypothetical protein		
g000167	GCF_000159455:NC_015697.1:2144121-2145287	GCF_000159455:FOEEPEMJ_02194	hypothetical protein		
g000168	GCF_000159455:NC_015697.1:2150421-2150822	GCF_000159455:FOEEPEMJ_02200	hypothetical protein		
g000169	GCF_000159455:NC_015697.1:2152643-2151546	GCF_000159455:FOEEPEMJ_02202	hypothetical protein		
g000170	GCF_000159455:NC_015697.1:2154050-2153880	GCF_000159455:FOEEPEMJ_02204	hypothetical protein		
g000171	GCF_000159455:NC_015697.1:2163539-2164981	GCF_000159455:FOEEPEMJ_02213	2-succinylbenzoate--CoA ligase	6.2.1.26	
g000172	GCF_000159455:NC_015697.1:2166553-2166302	GCF_000159455:FOEEPEMJ_02215	hypothetical protein		
g000173	GCF_000159455:NC_015697.1:2170080-2169874	GCF_000159455:FOEEPEMJ_02218	hypothetical protein		
g000174	GCF_000159455:NC_015697.1:2189836-2189195	GCF_000159455:FOEEPEMJ_02237	IS1182 family transposase ISStin8		
g000175	GCF_000159455:NC_015697.1:2218014-2218640	GCF_000159455:FOEEPEMJ_02263	IS30 family transposase IS1070		
g000176	GCF_000159455:NC_015697.1:2219002-2219880	GCF_000159455:FOEEPEMJ_02264	Protein DegV		
g000177	GCF_000159455:NC_015697.1:2231419-2230031	GCF_000159455:FOEEPEMJ_02279	putative multidrug resistance protein EmrY		
g000178	GCF_000159455:NC_015697.1:261211-261645	GCF_000159455:FOEEPEMJ_00278	Protein hit		
g000179	GCF_000159455:NC_015697.1:287884-286868	GCF_000159455:FOEEPEMJ_00307	HTH-type transcriptional regulator DegA		
g000180	GCF_000159455:NC_015697.1:3-1112	GCF_000159455:FOEEPEMJ_00001	IS30 family transposase ISHahy10		
g000181	GCF_000159455:NC_015697.1:31955-32089	GCF_000159455:FOEEPEMJ_00039	hypothetical protein		
g000182	GCF_000159455:NC_015697.1:32190-32429	GCF_000159455:FOEEPEMJ_00040	hypothetical protein		
g000183	GCF_000159455:NC_015697.1:345632-344736	GCF_000159455:FOEEPEMJ_00369	ISLre2 family transposase ISLre2		
g000184	GCF_000159455:NC_015697.1:378540-376759	GCF_000159455:FOEEPEMJ_00390	hypothetical protein		
g000185	GCF_000159455:NC_015697.1:39558-39184	GCF_000159455:FOEEPEMJ_00047	hypothetical protein		
g000186	GCF_000159455:NC_015697.1:39651-40271	GCF_000159455:FOEEPEMJ_00048	ISL3 family transposase IS1165		
g000187	GCF_000159455:NC_015697.1:400944-401171	GCF_000159455:FOEEPEMJ_00410	hypothetical protein		
g000188	GCF_000159455:NC_015697.1:410590-410084	GCF_000159455:FOEEPEMJ_00419	hypothetical protein		
g000189	GCF_000159455:NC_015697.1:443512-442961	GCF_000159455:FOEEPEMJ_00461	hypothetical protein		
g000190	GCF_000159455:NC_015697.1:450203-449082	GCF_000159455:FOEEPEMJ_00468	hypothetical protein		
g000191	GCF_000159455:NC_015697.1:458074-456104	GCF_000159455:FOEEPEMJ_00475	hypothetical protein		
g000192	GCF_000159455:NC_015697.1:462265-461426	GCF_000159455:FOEEPEMJ_00477	hypothetical protein		
g000193	GCF_000159455:NC_015697.1:465590-465378	GCF_000159455:FOEEPEMJ_00483	hypothetical protein		
g000194	GCF_000159455:NC_015697.1:469532-468234	GCF_000159455:FOEEPEMJ_00485	hypothetical protein		
g000195	GCF_000159455:NC_015697.1:470451-470654	GCF_000159455:FOEEPEMJ_00487	hypothetical protein		
g000196	GCF_000159455:NC_015697.1:470952-472091	GCF_000159455:FOEEPEMJ_00489	hypothetical protein		
g000197	GCF_000159455:NC_015697.1:487006-487677	GCF_000159455:FOEEPEMJ_00505	ATP-dependent Clp protease proteolytic subunit	3.4.21.92	
g000198	GCF_000159455:NC_015697.1:487696-488874	GCF_000159455:FOEEPEMJ_00506	hypothetical protein		
g000199	GCF_000159455:NC_015697.1:489169-489552	GCF_000159455:FOEEPEMJ_00508	hypothetical protein		
g000200	GCF_000159455:NC_015697.1:493017-494594	GCF_000159455:FOEEPEMJ_00514	hypothetical protein		
g000201	GCF_000159455:NC_015697.1:496925-497311	GCF_000159455:FOEEPEMJ_00518	hypothetical protein		
g000202	GCF_000159455:NC_015697.1:503482-502514	GCF_000159455:FOEEPEMJ_00522	Tyrosine recombinase XerD		
g000203	GCF_000159455:NC_015697.1:506482-506261	GCF_000159455:FOEEPEMJ_00526	hypothetical protein		
g000204	GCF_000159455:NC_015697.1:509106-506494	GCF_000159455:FOEEPEMJ_00527	hypothetical protein		
g000205	GCF_000159455:NC_015697.1:511944-513080	GCF_000159455:FOEEPEMJ_00532	hypothetical protein		
g000206	GCF_000159455:NC_015697.1:513692-515626	GCF_000159455:FOEEPEMJ_00534	hypothetical protein		
g000207	GCF_000159455:NC_015697.1:515713-516099	GCF_000159455:FOEEPEMJ_00535	hypothetical protein		
g000208	GCF_000159455:NC_015697.1:51573-50725	GCF_000159455:FOEEPEMJ_00056	hypothetical protein		
g000209	GCF_000159455:NC_015697.1:516102-518357	GCF_000159455:FOEEPEMJ_00536	hypothetical protein		
g000210	GCF_000159455:NC_015697.1:523769-523975	GCF_000159455:FOEEPEMJ_00544	hypothetical protein		
g000211	GCF_000159455:NC_015697.1:526109-525972	GCF_000159455:FOEEPEMJ_00548	hypothetical protein		
g000212	GCF_000159455:NC_015697.1:526190-527446	GCF_000159455:FOEEPEMJ_00549	hypothetical protein		
g000213	GCF_000159455:NC_015697.1:529596-529976	GCF_000159455:FOEEPEMJ_00553	hypothetical protein		
g000214	GCF_000159455:NC_015697.1:530486-530674	GCF_000159455:FOEEPEMJ_00555	hypothetical protein		
g000215	GCF_000159455:NC_015697.1:530736-532289	GCF_000159455:FOEEPEMJ_00556	hypothetical protein		
g000216	GCF_000159455:NC_015697.1:532667-534253	GCF_000159455:FOEEPEMJ_00558	hypothetical protein		
g000217	GCF_000159455:NC_015697.1:534570-534307	GCF_000159455:FOEEPEMJ_00559	hypothetical protein		
g000218	GCF_000159455:NC_015697.1:570189-571220	GCF_000159455:FOEEPEMJ_00608	IS110 family transposase ISSsu7		
g000219	GCF_000159455:NC_015697.1:591632-592522	GCF_000159455:FOEEPEMJ_00622	putative protein		
g000220	GCF_000159455:NC_015697.1:614122-612266	GCF_000159455:FOEEPEMJ_00650	Ribonuclease J 1	3.1.-.-	
g000221	GCF_000159455:NC_015697.1:619797-618895	GCF_000159455:FOEEPEMJ_00656	Ribosomal large subunit pseudouridine synthase D	5.4.99.23	
g000222	GCF_000159455:NC_015697.1:651879-651658	GCF_000159455:FOEEPEMJ_00684	hypothetical protein		
g000223	GCF_000159455:NC_015697.1:660151-658985	GCF_000159455:FOEEPEMJ_00691	D-alanyl-D-alanine carboxypeptidase DacA	3.4.16.4	
g000224	GCF_000159455:NC_015697.1:703843-703196	GCF_000159455:FOEEPEMJ_00731	hypothetical protein		
g000225	GCF_000159455:NC_015697.1:705486-704974	GCF_000159455:FOEEPEMJ_00733	hypothetical protein		
g000226	GCF_000159455:NC_015697.1:730476-730937	GCF_000159455:FOEEPEMJ_00763	hypothetical protein		
g000227	GCF_000159455:NC_015697.1:730949-731542	GCF_000159455:FOEEPEMJ_00764	hypothetical protein		
